gear,area,target,id_q,value,id_I,short_description,text,score_obs,style,event_code,strategy,solution
not_specified,NA,NA,2,1,1,go_out,"1. Usually happens offshore; can’t handle it if I have a trip, e.g., from Sandhamn, but then we can go inland when there’s algal bloom",1,fishing guide,abl,A,
ice fishing,NA,NA,2,NA,1,go_out,"1. Usually happens offshore; can’t handle it if I have a trip, e.g., from Sandhamn, but then we can go inland when there’s algal bloom",1,fishing guide,abl,A,
rod,NA,NA,2,NA,1,go_out,"1. Usually happens offshore; can’t handle it if I have a trip, e.g., from Sandhamn, but then we can go inland when there’s algal bloom",1,fishing guide,abl,A,
NA,NA,NA,4,-997,1,catch_assemblage,"More about changing location (deeper), 5   choose other species (we fish pike & perch, sea trout)",5,fishing guide,abl,A,
NA,NA,NA,6,3,1,cope_condition,3,3,fishing guide,abl,A,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,abl,,
NA,NA,NA,15,2,1,avoidance,NA,NA,fishing guide,abl,,
not_specified,NA,NA,2,1,1,go_out,"1, dangerous",1,fishing guide,erf,C,
NA,NA,NA,4,-998,1,catch_assemblage,"No other species, more that we don’t fish",NA,fishing guide,erf,C,
NA,NA,NA,6,-999,1,cope_condition,NA,NA,fishing guide,erf,,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,erf,,
NA,NA,NA,15,1,1,avoidance,NA,NA,fishing guide,erf,,
not_specified,NA,NA,2,5,1,go_out,"5Gale is normal (sometimes we cancel), from strong gale and upwards we stay home (18 19 m/s average and 25 m/s in gusts is not possible) ",5,fishing guide,gal,C,
NA,NA,NA,4,-997,1,catch_assemblage,": 2 sometimes; if it blows too hard and we are supposed to fish trout, then sometimes we have to go in and fish perch & pike instead",2,fishing guide,gal,A,
NA,NA,NA,6,-999,1,cope_condition,NA,NA,fishing guide,gal,,
NA,NA,NA,13,-999,1,change_practices,NA,NA,fishing guide,gal,,
NA,NA,NA,15,1,1,avoidance,NA,NA,fishing guide,gal,,
not_specified,NA,NA,2,4,1,go_out,"4. Some fishing is closed if it gets too hot, e.g., river fishing. It’s difficult to fish if it gets extremely hot, but I try to adapt; so far I haven’t canceled coastal fishing, I move it to mornings & evenings. But, for example, Nyköpingsån was closed because the water was too warm. Also depends on how hot it is. It happened in 2018, depends on what happens with our fish",4,fishing guide,hws,R,short
NA,NA,NA,4,-997,1,catch_assemblage,: 5   redirect the fishing down below the thermocline,5,fishing guide,hws,R,travel
