"short_description","id_q","id_sub","value","range.lwr","range.upr","unit_range"
"fishing_style",0,NA,"fishing guide",NA,NA,NA
"go_out",2,"a","1",NA,NA,NA
"go_out",2,"b","-999",NA,NA,NA
"go_out",2,"c","1",NA,NA,NA
"go_out",2,"d","-999",NA,NA,NA
"go_out",2,"e","-999",NA,NA,NA
"go_out",2,"f","5",NA,NA,NA
"go_out",2,"g","1",NA,NA,NA
"catchability",3,"a","5",NA,NA,NA
"catchability",3,"b","2",NA,NA,NA
"catchability",3,"c","2",NA,NA,NA
"catchability",3,"d","2",NA,NA,NA
"catchability",3,"e","-998",NA,NA,NA
"catchability",3,"f","2",NA,NA,NA
"catchability",3,"g","-998",NA,NA,NA
"catch_assemblage",4,"a","5",NA,NA,NA
"catch_assemblage",4,"b","5",NA,NA,NA
"catch_assemblage",4,"c","-998",NA,NA,NA
"catch_assemblage",4,"d","5",NA,NA,NA
"catch_assemblage",4,"e","-998",NA,NA,NA
"catch_assemblage",4,"f","2",NA,NA,NA
"catch_assemblage",4,"g","-998",NA,NA,NA
"catch_condition",5,"a","3",NA,NA,NA
"catch_condition",5,"b","2",NA,NA,NA
"catch_condition",5,"c","3",NA,NA,NA
"catch_condition",5,"d","2",NA,NA,NA
"catch_condition",5,"e","3",NA,NA,NA
"catch_condition",5,"f","3",NA,NA,NA
"catch_condition",5,"g","3",NA,NA,NA
"cope_condition",6,"a","-999",NA,NA,NA
"cope_condition",6,"b","3",NA,NA,NA
"cope_condition",6,"c","-999",NA,NA,NA
"cope_condition",6,"d","3",NA,NA,NA
"cope_condition",6,"e","-999",NA,NA,NA
"cope_condition",6,"f","-999",NA,NA,NA
"cope_condition",6,"g","-999",NA,NA,NA
"lag_effect",7,"a","4",NA,NA,NA
"lag_effect",7,"b","-999",NA,NA,NA
"lag_effect",7,"c","-999",NA,NA,NA
"lag_effect",7,"d","-999",NA,NA,NA
"lag_effect",7,"e","-999",NA,NA,NA
"lag_effect",7,"f","-999",NA,NA,NA
"lag_effect",7,"g","-999",NA,NA,NA
"unc_2_7",8,NA,"999",NA,NA,NA
"personal_safety",9,"a","1",NA,NA,NA
"personal_safety",9,"b","0",NA,NA,NA
"personal_safety",9,"c","2",NA,NA,NA
"personal_safety",9,"d","0",NA,NA,NA
"personal_safety",9,"e","1",NA,NA,NA
"personal_safety",9,"f","1",NA,NA,NA
"personal_safety",9,"g","2",NA,NA,NA
"damage",10,"a","0",NA,NA,NA
"damage",10,"b","0",NA,NA,NA
"damage",10,"c","2",NA,NA,NA
"damage",10,"d","0",NA,NA,NA
"damage",10,"e","2",NA,NA,NA
"damage",10,"f","1",NA,NA,NA
"damage",10,"g","2",NA,NA,NA
"minor_damage_cost",11,NA,NA,10000,20000,"sek_unit"
"major_damage_cost",12,NA,NA,20000,6e+06,"sek_unit"
"change_practices",13,"a","-999",NA,NA,NA
"change_practices",13,"b","-999",NA,NA,NA
"change_practices",13,"c","-999",NA,NA,NA
"change_practices",13,"d","-999",NA,NA,NA
"change_practices",13,"e","-999",NA,NA,NA
"change_practices",13,"f","-999",NA,NA,NA
"change_practices",13,"g","-999",NA,NA,NA
"unc_9_13",14,NA,"1",NA,NA,NA
"avoidance",15,"a","1",NA,NA,NA
"avoidance",15,"b","2",NA,NA,NA
"avoidance",15,"c","1",NA,NA,NA
"avoidance",15,"d","2",NA,NA,NA
"avoidance",15,"e","1",NA,NA,NA
"avoidance",15,"f","1",NA,NA,NA
"avoidance",15,"g","1",NA,NA,NA
"gear characteristics",16,NA,"0",NA,NA,NA
"infrastructure",17,NA,"2",NA,NA,NA
"management_space",18,NA,"2",NA,NA,NA
"management_species",19,NA,"2",NA,NA,NA
"unc_15_19",20,NA,"2",NA,NA,NA
"stress_injuries",21,"a","5",NA,NA,NA
"stress_gear",21,"b","5",NA,NA,NA
"stress_condition",21,"c","4",NA,NA,NA
"unc_21",22,NA,"4",NA,NA,NA
"job_mobility",23,NA,"3",NA,NA,NA
"entrepeneurship",24,NA,"4",NA,NA,NA
"credit",25,NA,"1",NA,NA,NA
"unc_23_25",26,NA,"2",NA,NA,NA
"knowledge_transmission",27,NA,"5",NA,NA,NA
"benefit_local_community",28,NA,"3",NA,NA,NA
"benefit_personal_community",29,NA,"5",NA,NA,NA
"traditional_food",30,NA,"1",NA,NA,NA
"unc_26_30",31,NA,"5",NA,NA,NA
"outdoor_benefit",32,NA,"5",NA,NA,NA
"identity",33,NA,"5",NA,NA,NA
"home",34,NA,"5",NA,NA,NA
"unc_31_34",35,NA,"1",NA,NA,NA
"fdays",36,NA,"100",NA,NA,NA
"income",37,NA,NA,6000,8000,"sek_day"
"season_maint",38,NA,NA,50000,10000,"sek_season"
"fuel_trip",39,NA,NA,1000,1000,"sek_day"
"extra_fuel",40,NA,NA,500,500,"sek_day"
"extra_crew",41,NA,NA,2000,3000,"sek_day"
"extra_cleaning_cost",42,NA,NA,NA,NA,"sek_day"
"exytra_other",43,NA,NA,NA,NA,"sek_day"
"unc_36_42",44,NA,"5",NA,NA,NA
