"gear","area","target","id_q","id_sub","value","range.lwr","range.upr","unit_range","id_I"
NA,NA,NA,0,NA,"fishing guide",NA,NA,NA,"1"
"not_specified",NA,NA,2,"a",NA,NA,NA,NA,"1"
"ice fishing",NA,NA,2,"a","1",NA,NA,NA,"1"
"rod",NA,NA,2,"a","5",NA,NA,NA,"1"
"not_specified",NA,NA,2,"b","4",NA,NA,NA,"1"
"ice fishing",NA,NA,2,"b",NA,NA,NA,NA,"1"
"rod",NA,NA,2,"b",NA,NA,NA,NA,"1"
"not_specified",NA,NA,2,"c","1",NA,NA,NA,"1"
"ice fishing",NA,NA,2,"c",NA,NA,NA,NA,"1"
"rod",NA,NA,2,"c",NA,NA,NA,NA,"1"
"not_specified",NA,NA,2,"d","1",NA,NA,NA,"1"
"ice fishing",NA,NA,2,"d",NA,NA,NA,NA,"1"
"rod",NA,NA,2,"d",NA,NA,NA,NA,"1"
"not_specified",NA,NA,2,"e","1",NA,NA,NA,"1"
"ice fishing",NA,NA,2,"e",NA,NA,NA,NA,"1"
"rod",NA,NA,2,"e",NA,NA,NA,NA,"1"
"not_specified",NA,NA,2,"f","5",NA,NA,NA,"1"
"ice fishing",NA,NA,2,"f",NA,NA,NA,NA,"1"
"rod",NA,NA,2,"f",NA,NA,NA,NA,"1"
"not_specified",NA,NA,2,"g","1",NA,NA,NA,"1"
"ice fishing",NA,NA,2,"g",NA,NA,NA,NA,"1"
"rod",NA,NA,2,"g",NA,NA,NA,NA,"1"
"not_specified",NA,NA,3,"a",NA,NA,NA,NA,"1"
"ice fishing",NA,NA,3,"a","1",NA,NA,NA,"1"
"rod",NA,NA,3,"a","5",NA,NA,NA,"1"
"not_specified",NA,NA,3,"b","2",NA,NA,NA,"1"
"ice fishing",NA,NA,3,"b",NA,NA,NA,NA,"1"
"rod",NA,NA,3,"b",NA,NA,NA,NA,"1"
"not_specified",NA,NA,3,"c","2",NA,NA,NA,"1"
"ice fishing",NA,NA,3,"c",NA,NA,NA,NA,"1"
"rod",NA,NA,3,"c",NA,NA,NA,NA,"1"
"not_specified",NA,NA,3,"d","2",NA,NA,NA,"1"
"ice fishing",NA,NA,3,"d",NA,NA,NA,NA,"1"
"rod",NA,NA,3,"d",NA,NA,NA,NA,"1"
"not_specified",NA,NA,3,"e","-998",NA,NA,NA,"1"
"ice fishing",NA,NA,3,"e",NA,NA,NA,NA,"1"
"rod",NA,NA,3,"e",NA,NA,NA,NA,"1"
"not_specified",NA,NA,3,"f","2",NA,NA,NA,"1"
"ice fishing",NA,NA,3,"f",NA,NA,NA,NA,"1"
"rod",NA,NA,3,"f",NA,NA,NA,NA,"1"
"not_specified",NA,NA,3,"g","-998",NA,NA,NA,"1"
"ice fishing",NA,NA,3,"g",NA,NA,NA,NA,"1"
"rod",NA,NA,3,"g",NA,NA,NA,NA,"1"
NA,NA,NA,4,"a","-997",NA,NA,NA,"1"
NA,NA,NA,4,"b","-997",NA,NA,NA,"1"
NA,NA,NA,4,"c","-998",NA,NA,NA,"1"
NA,NA,NA,4,"d","-997",NA,NA,NA,"1"
NA,NA,NA,4,"e","-998",NA,NA,NA,"1"
NA,NA,NA,4,"f","-997",NA,NA,NA,"1"
NA,NA,NA,4,"g","-998",NA,NA,NA,"1"
NA,NA,NA,5,"a","3",NA,NA,NA,"1"
NA,NA,NA,5,"b","2",NA,NA,NA,"1"
NA,NA,NA,5,"c","3",NA,NA,NA,"1"
NA,NA,NA,5,"d","2",NA,NA,NA,"1"
NA,NA,NA,5,"e","3",NA,NA,NA,"1"
NA,NA,NA,5,"f","3",NA,NA,NA,"1"
NA,NA,NA,5,"g","3",NA,NA,NA,"1"
NA,NA,NA,6,"a","-999",NA,NA,NA,"1"
NA,NA,NA,6,"b","3",NA,NA,NA,"1"
NA,NA,NA,6,"c","-999",NA,NA,NA,"1"
NA,NA,NA,6,"d","3",NA,NA,NA,"1"
NA,NA,NA,6,"e","-999",NA,NA,NA,"1"
NA,NA,NA,6,"f","-999",NA,NA,NA,"1"
NA,NA,NA,6,"g","-999",NA,NA,NA,"1"
NA,NA,NA,7,"a","4",NA,NA,NA,"1"
NA,NA,NA,7,"b","-999",NA,NA,NA,"1"
NA,NA,NA,7,"c","-999",NA,NA,NA,"1"
NA,NA,NA,7,"d","-999",NA,NA,NA,"1"
NA,NA,NA,7,"e","-999",NA,NA,NA,"1"
NA,NA,NA,7,"f","-999",NA,NA,NA,"1"
NA,NA,NA,7,"g","-999",NA,NA,NA,"1"
NA,NA,NA,8,NA,"-997",NA,NA,NA,"1"
NA,NA,NA,9,"a","1",NA,NA,NA,"1"
NA,NA,NA,9,"b","0",NA,NA,NA,"1"
NA,NA,NA,9,"c","2",NA,NA,NA,"1"
NA,NA,NA,9,"d","0",NA,NA,NA,"1"
NA,NA,NA,9,"e","1",NA,NA,NA,"1"
NA,NA,NA,9,"f","1",NA,NA,NA,"1"
NA,NA,NA,9,"g","2",NA,NA,NA,"1"
NA,NA,NA,10,"a","0",NA,NA,NA,"1"
NA,NA,NA,10,"b","0",NA,NA,NA,"1"
NA,NA,NA,10,"c","2",NA,NA,NA,"1"
NA,NA,NA,10,"d","0",NA,NA,NA,"1"
NA,NA,NA,10,"e","2",NA,NA,NA,"1"
NA,NA,NA,10,"f","1",NA,NA,NA,"1"
NA,NA,NA,10,"g","2",NA,NA,NA,"1"
NA,NA,NA,11,NA,NA,"10000","20000","sek_unit","1"
NA,NA,NA,12,NA,NA,"20000","6e+06","sek_unit","1"
NA,NA,NA,13,"a","-999",NA,NA,NA,"1"
NA,NA,NA,13,"b","-999",NA,NA,NA,"1"
NA,NA,NA,13,"c","-999",NA,NA,NA,"1"
NA,NA,NA,13,"d","-999",NA,NA,NA,"1"
NA,NA,NA,13,"e","-999",NA,NA,NA,"1"
NA,NA,NA,13,"f","-999",NA,NA,NA,"1"
NA,NA,NA,13,"g","-999",NA,NA,NA,"1"
NA,NA,NA,14,NA,"1",NA,NA,NA,"1"
NA,NA,NA,15,"a","1",NA,NA,NA,"1"
NA,NA,NA,15,"b","2",NA,NA,NA,"1"
NA,NA,NA,15,"c","1",NA,NA,NA,"1"
NA,NA,NA,15,"d","2",NA,NA,NA,"1"
NA,NA,NA,15,"e","1",NA,NA,NA,"1"
NA,NA,NA,15,"f","1",NA,NA,NA,"1"
NA,NA,NA,15,"g","1",NA,NA,NA,"1"
NA,NA,NA,16,NA,"0",NA,NA,NA,"1"
NA,NA,NA,17,NA,"2",NA,NA,NA,"1"
NA,NA,NA,18,NA,"2",NA,NA,NA,"1"
NA,NA,NA,19,NA,"2",NA,NA,NA,"1"
NA,NA,NA,20,NA,"2",NA,NA,NA,"1"
NA,NA,NA,21,"a","5",NA,NA,NA,"1"
NA,NA,NA,21,"b","5",NA,NA,NA,"1"
NA,NA,NA,21,"c","4",NA,NA,NA,"1"
NA,NA,NA,22,NA,"4",NA,NA,NA,"1"
NA,NA,NA,23,NA,"3",NA,NA,NA,"1"
NA,NA,NA,24,NA,"4",NA,NA,NA,"1"
NA,NA,NA,25,NA,"1",NA,NA,NA,"1"
NA,NA,NA,26,NA,"2",NA,NA,NA,"1"
NA,NA,NA,27,NA,"5",NA,NA,NA,"1"
NA,NA,NA,28,NA,"3",NA,NA,NA,"1"
NA,NA,NA,29,NA,"5",NA,NA,NA,"1"
NA,NA,NA,30,NA,"1",NA,NA,NA,"1"
NA,NA,NA,31,NA,"5",NA,NA,NA,"1"
NA,NA,NA,32,NA,"5",NA,NA,NA,"1"
NA,NA,NA,33,NA,"5",NA,NA,NA,"1"
NA,NA,NA,34,NA,"5",NA,NA,NA,"1"
NA,NA,NA,35,NA,"1",NA,NA,NA,"1"
NA,NA,NA,36,NA,"100",NA,NA,NA,"1"
NA,NA,NA,37,NA,NA,"6000","8000","sek_day","1"
NA,NA,NA,38,NA,NA,"50000","10000","sek_season","1"
NA,NA,NA,39,NA,NA,"1000","1000","sek_day","1"
NA,NA,NA,40,NA,NA,"500","500","sek_day","1"
NA,NA,NA,41,NA,NA,"2000","3000","sek_day","1"
NA,NA,NA,42,NA,NA,NA,NA,"sek_day","1"
NA,NA,NA,43,NA,NA,NA,NA,"sek_day","1"
NA,NA,NA,44,NA,"5",NA,NA,NA,"1"
NA,NA,NA,45,NA,"-999",NA,NA,NA,"1"
NA,NA,NA,0,NA,"coastal",NA,NA,NA,"2"
NA,NA,NA,2,"a","-999",NA,NA,NA,"2"
NA,NA,NA,2,"b","3",NA,NA,NA,"2"
NA,NA,NA,2,"c","1",NA,NA,NA,"2"
NA,NA,NA,2,"d","4",NA,NA,NA,"2"
NA,NA,NA,2,"e","3",NA,NA,NA,"2"
NA,NA,NA,2,"f","1",NA,NA,NA,"2"
NA,NA,NA,2,"g","1",NA,NA,NA,"2"
NA,NA,NA,3,"a","-999",NA,NA,NA,"2"
NA,NA,NA,3,"b","2",NA,NA,NA,"2"
NA,NA,NA,3,"c","-998",NA,NA,NA,"2"
NA,NA,NA,3,"d","-998",NA,NA,NA,"2"
NA,NA,NA,3,"e","3",NA,NA,NA,"2"
NA,NA,NA,3,"f","2",NA,NA,NA,"2"
NA,NA,NA,3,"g","1",NA,NA,NA,"2"
NA,NA,NA,4,"a","-999",NA,NA,NA,"2"
NA,NA,NA,4,"b","4",NA,NA,NA,"2"
NA,NA,NA,4,"c","-998",NA,NA,NA,"2"
NA,NA,NA,4,"d","-998",NA,NA,NA,"2"
NA,NA,NA,4,"e","1",NA,NA,NA,"2"
NA,NA,NA,4,"f","1",NA,NA,NA,"2"
NA,NA,NA,4,"g","-998",NA,NA,NA,"2"
NA,NA,"not_specified",5,"a","-999",NA,NA,NA,"2"
NA,NA,"perch",5,"a",NA,NA,NA,NA,"2"
NA,NA,"salmon",5,"a",NA,NA,NA,NA,"2"
NA,NA,"not_specified",5,"b",NA,NA,NA,NA,"2"
NA,NA,"perch",5,"b","1",NA,NA,NA,"2"
NA,NA,"salmon",5,"b","3",NA,NA,NA,"2"
NA,NA,"not_specified",5,"c","-999",NA,NA,NA,"2"
NA,NA,"perch",5,"c",NA,NA,NA,NA,"2"
NA,NA,"salmon",5,"c",NA,NA,NA,NA,"2"
NA,NA,"not_specified",5,"d","2",NA,NA,NA,"2"
NA,NA,"perch",5,"d",NA,NA,NA,NA,"2"
NA,NA,"salmon",5,"d",NA,NA,NA,NA,"2"
NA,NA,"not_specified",5,"e","-998",NA,NA,NA,"2"
NA,NA,"perch",5,"e",NA,NA,NA,NA,"2"
NA,NA,"salmon",5,"e",NA,NA,NA,NA,"2"
NA,NA,"not_specified",5,"f","-998",NA,NA,NA,"2"
NA,NA,"perch",5,"f",NA,NA,NA,NA,"2"
NA,NA,"salmon",5,"f",NA,NA,NA,NA,"2"
NA,NA,"not_specified",5,"g","-998",NA,NA,NA,"2"
NA,NA,"perch",5,"g",NA,NA,NA,NA,"2"
NA,NA,"salmon",5,"g",NA,NA,NA,NA,"2"
NA,NA,NA,6,"a","-999",NA,NA,NA,"2"
NA,NA,NA,6,"b","3",NA,NA,NA,"2"
NA,NA,NA,6,"c","-999",NA,NA,NA,"2"
NA,NA,NA,6,"d","4",NA,NA,NA,"2"
NA,NA,NA,6,"e","-999",NA,NA,NA,"2"
NA,NA,NA,6,"f","-999",NA,NA,NA,"2"
NA,NA,NA,6,"g","-999",NA,NA,NA,"2"
NA,NA,NA,7,"a","3",NA,NA,NA,"2"
NA,NA,NA,7,"b","3",NA,NA,NA,"2"
NA,NA,NA,7,"c","-998",NA,NA,NA,"2"
NA,NA,NA,7,"d","-998",NA,NA,NA,"2"
NA,NA,NA,7,"e","-998",NA,NA,NA,"2"
NA,NA,NA,7,"f","3",NA,NA,NA,"2"
NA,NA,NA,7,"g","3",NA,NA,NA,"2"
NA,NA,NA,8,NA,"1",NA,NA,NA,"2"
NA,NA,NA,9,"a","0",NA,NA,NA,"2"
NA,NA,NA,9,"b","0",NA,NA,NA,"2"
NA,NA,NA,9,"c","2",NA,NA,NA,"2"
NA,NA,NA,9,"d","0",NA,NA,NA,"2"
NA,NA,NA,9,"e","0",NA,NA,NA,"2"
NA,NA,NA,9,"f","0",NA,NA,NA,"2"
NA,NA,NA,9,"g","2",NA,NA,NA,"2"
NA,NA,NA,10,"a","-999",NA,NA,NA,"2"
NA,NA,NA,10,"b","1",NA,NA,NA,"2"
NA,NA,NA,10,"c","1",NA,NA,NA,"2"
NA,NA,NA,10,"d","0",NA,NA,NA,"2"
NA,NA,NA,10,"e","1",NA,NA,NA,"2"
NA,NA,NA,10,"f","1",NA,NA,NA,"2"
NA,NA,NA,10,"g","2",NA,NA,NA,"2"
NA,NA,NA,11,NA,NA,"10000","50000","sek_unit","2"
NA,NA,NA,12,NA,NA,"1e+05","5e+05","sek_unit","2"
NA,NA,NA,13,"a","1",NA,NA,NA,"2"
NA,NA,NA,13,"b","1",NA,NA,NA,"2"
NA,NA,NA,13,"c","-999",NA,NA,NA,"2"
NA,NA,NA,13,"d","0",NA,NA,NA,"2"
NA,NA,NA,13,"e","0",NA,NA,NA,"2"
NA,NA,NA,13,"f","2",NA,NA,NA,"2"
NA,NA,NA,13,"g","2",NA,NA,NA,"2"
NA,NA,NA,14,NA,"1",NA,NA,NA,"2"
NA,NA,NA,15,"a","2",NA,NA,NA,"2"
NA,NA,NA,15,"b","2",NA,NA,NA,"2"
NA,NA,NA,15,"c","-999",NA,NA,NA,"2"
NA,NA,NA,15,"d","4",NA,NA,NA,"2"
NA,NA,NA,15,"e","-999",NA,NA,NA,"2"
NA,NA,NA,15,"f","1",NA,NA,NA,"2"
NA,NA,NA,15,"g","1",NA,NA,NA,"2"
NA,NA,NA,16,NA,"1",NA,NA,NA,"2"
NA,NA,NA,17,NA,"0",NA,NA,NA,"2"
NA,NA,NA,18,NA,"999",NA,NA,NA,"2"
NA,NA,NA,19,NA,"1",NA,NA,NA,"2"
NA,NA,NA,20,NA,"1",NA,NA,NA,"2"
NA,NA,NA,21,"a","3",NA,NA,NA,"2"
NA,NA,NA,21,"b","2",NA,NA,NA,"2"
NA,NA,NA,21,"c","2",NA,NA,NA,"2"
NA,NA,NA,22,NA,"5",NA,NA,NA,"2"
NA,NA,NA,23,NA,"1",NA,NA,NA,"2"
NA,NA,NA,24,NA,"5",NA,NA,NA,"2"
NA,NA,NA,25,NA,"1",NA,NA,NA,"2"
NA,NA,NA,26,NA,"5",NA,NA,NA,"2"
NA,NA,NA,27,NA,"5",NA,NA,NA,"2"
NA,NA,NA,28,NA,"5",NA,NA,NA,"2"
NA,NA,NA,29,NA,"5",NA,NA,NA,"2"
NA,NA,NA,30,NA,"5",NA,NA,NA,"2"
NA,NA,NA,31,NA,"1",NA,NA,NA,"2"
NA,NA,NA,32,NA,"4",NA,NA,NA,"2"
NA,NA,NA,33,NA,"4",NA,NA,NA,"2"
NA,NA,NA,34,NA,"4",NA,NA,NA,"2"
NA,NA,NA,35,NA,"2",NA,NA,NA,"2"
NA,NA,NA,36,NA,NA,"50","100","days","2"
NA,NA,NA,37,NA,NA,"1e+06","1500000","sek_season","2"
NA,NA,NA,38,NA,NA,"1e+05","5e+05","sek_season","2"
NA,NA,NA,39,NA,NA,NA,NA,"sek_day","2"
NA,NA,NA,40,NA,NA,NA,NA,"sek_day","2"
NA,NA,NA,41,NA,NA,NA,NA,"sek_day","2"
NA,NA,NA,42,NA,NA,"3","3","minutes_gear","2"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported","2"
NA,NA,NA,44,NA,"5",NA,NA,NA,"2"
NA,NA,NA,45,NA,"-999",NA,NA,NA,"2"
NA,NA,NA,0,NA,"coastal",NA,NA,NA,"3"
NA,NA,NA,2,"a","-999",NA,NA,NA,"3"
NA,NA,NA,2,"b","5",NA,NA,NA,"3"
NA,NA,NA,2,"c","-999",NA,NA,NA,"3"
NA,NA,NA,2,"d","5",NA,NA,NA,"3"
NA,NA,NA,2,"e","3",NA,NA,NA,"3"
NA,NA,NA,2,"f","1",NA,NA,NA,"3"
NA,NA,NA,2,"g","1",NA,NA,NA,"3"
NA,NA,"not_specified",3,"a","-999",NA,NA,NA,"3"
NA,NA,"perch",3,"a",NA,NA,NA,NA,"3"
NA,NA,"herring",3,"a",NA,NA,NA,NA,"3"
NA,NA,"salmon",3,"a",NA,NA,NA,NA,"3"
NA,NA,"not_specified",3,"b","2",NA,NA,NA,"3"
NA,NA,"perch",3,"b",NA,NA,NA,NA,"3"
NA,NA,"herring",3,"b",NA,NA,NA,NA,"3"
NA,NA,"salmon",3,"b",NA,NA,NA,NA,"3"
NA,NA,"not_specified",3,"c","-999",NA,NA,NA,"3"
NA,NA,"perch",3,"c",NA,NA,NA,NA,"3"
NA,NA,"herring",3,"c",NA,NA,NA,NA,"3"
NA,NA,"salmon",3,"c",NA,NA,NA,NA,"3"
NA,NA,"not_specified",3,"d","3",NA,NA,NA,"3"
NA,NA,"perch",3,"d","2",NA,NA,NA,"3"
NA,NA,"herring",3,"d","2",NA,NA,NA,"3"
NA,NA,"salmon",3,"d",NA,NA,NA,NA,"3"
NA,NA,"not_specified",3,"e","3",NA,NA,NA,"3"
NA,NA,"perch",3,"e",NA,NA,NA,NA,"3"
NA,NA,"herring",3,"e",NA,NA,NA,NA,"3"
NA,NA,"salmon",3,"e",NA,NA,NA,NA,"3"
NA,NA,"not_specified",3,"f",NA,NA,NA,NA,"3"
