"upload_date","country_name","country_code","year","supra_reg","fishing_tech","vessel_length","geo_indicator","cluster_name","fs_name","variable_group","variable_name","variable_code","value","unit","fromtable","framework","template_name","gear","fishery","activity"
2025-04-09,"Sweden","SWE",2008,"NAO","DTS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Number of vessels","totves",33,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0010","NGI","NAOINACTVL0010NGI","SWE NAO INA0010 NGI *","Capacity","Number of vessels","totves",123,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0812","NGI","NAOINACTVL0812NGI","SWE NAO INA0812 NGI *","Capacity","Number of vessels","totves",78,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1218","NGI","NAOINACTVL1218NGI","SWE NAO INA1218 NGI *","Capacity","Number of vessels","totves",29,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL0008","NGI","NAOINACTVL0008NGI","SWE NAO INA0008 NGI *","Capacity","Number of vessels","totves",139,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","TM","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Number of vessels","totves",31,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DTS","VL0812","NGI","NAODTSVL0812NGI","SWE NAO DTS0812 NGI *","Capacity","Number of vessels","totves",27,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Number of vessels","totves",10,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PS","VL2440","NGI","NAODTSVL2440NGI","SWE NAO DTS2440 NGI *","Capacity","Number of vessels","totves",2,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Number of vessels","totves",62,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","TM","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Number of vessels","totves",110,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","INACTIVE","VL1012","NGI","NAOINACTVL1012NGI","SWE NAO INA1012 NGI *","Capacity","Number of vessels","totves",13,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PS","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Number of vessels","totves",127,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0008","NGI","NAODFNVL0008NGI","SWE NAO DFN0008 NGI *","Capacity","Number of vessels","totves",4,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Number of vessels","totves",12,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Number of vessels","totves",196,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Number of vessels","totves",17,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","HOK","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Number of vessels","totves",26,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DRB","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Number of vessels","totves",2,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Number of vessels","totves",34,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Number of vessels","totves",7,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PS","VL1012","NGI","NAODTSVL1012NGI","SWE NAO DTS1012 NGI *","Capacity","Number of vessels","totves",2,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DTS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Number of vessels","totves",106,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PS","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Number of vessels","totves",2,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","TM","VL1218","NGI","NAODTSVL1218NGI","SWE NAO DTS1218 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PMP","VL1824","NGI","NAODTSVL1824NGI","SWE NAO DTS1824 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DFN","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Number of vessels","totves",35,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","FPO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Number of vessels","totves",242,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PGO","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Number of vessels","totves",1,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0010","NGI","NAODFNVL0010NGI","SWE NAO DFN0010 NGI *","Capacity","Number of vessels","totves",16,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","PGP","VL0812","NGI","NAODFNVL0812NGI","SWE NAO DFN0812 NGI *","Capacity","Number of vessels","totves",4,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Number of vessels","totves",17,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","DFN","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Number of vessels","totves",20,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Number of vessels","totves",25,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","FPO","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Number of vessels","totves",4,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1012","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Number of vessels","totves",8,"number","map_fs","map","map_capacity",NA,NA,NA
2025-04-09,"Sweden","SWE",2008,"NAO","HOK","VL1218","NGI","NAODFNVL1012NGI","SWE NAO DFN1012 NGI *","Capacity","Number of vessels","totves",5,"number","map_fs","map","map_capacity",NA,NA,NA
