"country","year","quarter","vessel_length_category","fishing_technique","gear_type","target_assemblage","mesh_size_range","metier","metier7","supra_region","sub_region","eez_indicator","geo_indicator","specon_tech","deep","total_days_at sea","total_fishing_days","total_kw_days at sea","total_gt_days at sea","total_kw_fishing days","total_gt_fishing days","hours_at_sea","kw_hours_at sea","gt_hours_at sea","confidential"
"Sweden",2013,1,"VL0008","DFN","FYK","CAT","NK","FYK_CAT_>0_0_0",NA,"NAO","27.3.D.25",NA,"NGI",NA,NA,"9","9","144","9","144","9",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","DEF","110D157","GNS_DEF_110-156_0_0",NA,"NAO","27.3.B.23",NA,"NGI",NA,NA,"1","1","26","3","26","3",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","DEF","110D157","GNS_DEF_110-156_0_0",NA,"NAO","27.3.D.24",NA,"NGI",NA,NA,"2","2","32","6","32","6",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","DEF","110D157","GNS_DEF_110-156_0_0",NA,"NAO","27.3.D.25",NA,"NGI",NA,NA,"91","91","3695","337","3695","337",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","DEF","110D157","GNS_DEF_110-156_0_0",NA,"NAO","27.3.D.27",NA,"NGI",NA,NA,"2","2","42","2","42","2",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","FWS","110D157","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.25",NA,"NGI",NA,NA,"2","2","52","6","52","6",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","FWS","32D90","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.31",NA,"NGI",NA,NA,"17","17","748","17","748","17",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","FWS","90D110","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.25",NA,"NGI",NA,NA,"17","17","212","23","212","23",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","FWS","90D110","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.27",NA,"NGI",NA,NA,"22","22","832","24","832","24",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","SPF","32D90","GNS_SPF_32-89_0_0",NA,"NAO","27.3.D.25",NA,"NGI",NA,NA,"1","1","24","3","24","3",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","SPF","32D90","GNS_SPF_32-89_0_0",NA,"NAO","27.3.D.27",NA,"NGI",NA,NA,"14","14","306","50","306","50",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","DFN","GNS","SPF","32D90","GNS_SPF_32-89_0_0",NA,"NAO","27.3.D.28.2",NA,"NGI",NA,NA,"3","3","87","3","87","3",NA,NA,NA,"N"
