"country","year","quarter","vessel_length_category","fishing_technique","gear_type","target_assemblage","mesh_size_range","metier","metier7","supra_region","sub_region","eez_indicator","geo_indicator","specon_tech","deep","total_days_at sea","total_fishing_days","total_kw_days at sea","total_gt_days at sea","total_kw_fishing days","total_gt_fishing days","hours_at_sea","kw_hours_at sea","gt_hours_at sea","confidential"
"Sweden",2013,1,"VL0008","FPO","FPO","FWS",NA,"FPO_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"90","90","1440","180","1440","180",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","FPO","GNS","FWS","32D90","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"8","8","232","8","232","8",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","FPO","NK","NK","NK","NK",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"15","15","330","0","330","0",NA,NA,NA,"N"
"Sweden",2013,1,"VL0008","NO","NK","NK","NK","NK",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"15","15","300","15","300","15",NA,NA,NA,"N"
"Sweden",2013,1,"VL1218","DTS","OTB","SPF","32D90","OTB_SPF_32-89_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"4","4","800","156","800","156",NA,NA,NA,"N"
"Sweden",2013,1,"VL1824","TM","OTB","SPF","32D90","OTB_SPF_32-89_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"1","1","261","62","261","62",NA,NA,NA,"N"
"Sweden",2013,1,"VL1824","TM","OTM","SPF","32D90","OTM_SPF_32-89_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"3","3","783","186","783","186",NA,NA,NA,"N"
"Sweden",2013,1,"VL2440","DTS","OTB","SPF","16D32","OTB_SPF_16-31_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"44","33","32824","15488","24618","11616",NA,NA,NA,"N"
"Sweden",2013,1,"VL40XX","TM","OTM","SPF","16D32","OTM_SPF_16-31_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"31","20","46610","17625","30325","11450",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","FPN","ANA","NK","FPN_ANA_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"139","139","4388","139","4388","139",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","FPO","FWS",NA,"FPO_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"18","18","733","18","733","18",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","FYK","ANA","NK","FYK_ANA_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"6","6","204","0","204","0",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","FYK","CAT","NK","FYK_CAT_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"6","6","242","6","242","6",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","GNS","FWS","32D90","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"194","194","7408","184","7408","184",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","GNS","FWS","90D110","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"53","53","2169","45","2169","45",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","GNS","SPF","16D32","GNS_SPF_16-31_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"10","10","142","10","142","10",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","DFN","GNS","SPF","32D90","GNS_SPF_32-89_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"165","165","6134","165","6134","165",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","FPO","FPN","ANA","NK","FPN_ANA_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"334","334","10456","259","10456","259",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","FPO","FPN","FWS","NK","FPN_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"61","61","2196","61","2196","61",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","FPO","FPO","FWS",NA,"FPO_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"5","5","112","0","112","0",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","FPO","FYK","SPF","NK","FYK_SPF_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"14","14","249","0","249","0",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","FPO","GNS","ANA","90D110","GNS_ANA_90-109_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"8","8","175","0","175","0",NA,NA,NA,"N"
"Sweden",2013,2,"VL0008","FPO","GNS","FWS","32D90","GNS_FWS_>0_0_0",NA,"NAO","27.3.D.30",NA,"NGI",NA,NA,"75","75","1876","56","1876","56",NA,NA,NA,"N"
