"name","swedish","catches","practitioners"
"Perch","Abborre",1252,303
"Pike","Gädda",1952,186
"Mackerel","Makrill",1167,161
"Trout","Öring",406,137
"Not specified","Ingen speciell art",NA,131
"Herring","Sill/strömming",299,74
"Zander","Gös",NA,70
"Cod","Torsk",142,58
"Salmon","Lax",NA,50
"Garfish","Näbbgädda/horngädda",NA,36
"Whitefish","Sik",76,32
"Other","Övriga arter",NA,28
"Sea bass","Havsabborre",NA,27
"Lobster","Hummer",224,26
"Brown crab","Krabbtaska",NA,20
"Flatfishes","Andra plattfiskar, t.ex. skrubbskädda och rödspätta",NA,18
