"variable","mean","error","category"
"Expenses for fishing equipment",1880,628,"expenses"
"Expenses for clothing",382,145,"expenses"
"Expenses for travel",1223,483,"expenses"
"Expenses for accommodation",313,110,"expenses"
"Expenses for restaurant visits",312,155,"expenses"
"Expenses for grocery purchases",703,404,"expenses"
"Expenses for fishing permits/licenses",582,172,"expenses"
"Expenses for guide, tour boat, rental boat",68,41,"expenses"
"Expenses for boat fuel",429,171,"expenses"
"Other expenses, e.g., mooring space",484,152,"expenses"
"Total expenses (excluding major purchases)",6376,1649,"expenses"
"Expenses for major purchases",4800,3812,"expenses"
"Totalt",11175,4623,"expenses"
"practitioner_thousand",1213,133,"effort"
"fdays_tot",10118,1550,"effort"
"fdays_boat",5286,1076,"effort"
