"gear","fishing_style","prob"
"otm","recreational",0
"gns_fws","recreational",0
"gns_spf","recreational",0
"fpn_ana","recreational",0
"lhp","recreational",1
"icefishing","recreational",0
"inland","recreational",0
"otm","small_scale",0
"gns_fws","small_scale",0.495957781357897
"gns_spf","small_scale",0.303583221397832
"fpn_ana","small_scale",0.200458997244271
"lhp","small_scale",0
"icefishing","small_scale",0
"inland","small_scale",0
"otm","household",0
"gns_fws","household",0.5
"gns_spf","household",0.5
"fpn_ana","household",0
"lhp","household",0
"icefishing","household",0
"inland","household",0
"otm","trawler",1
"gns_fws","trawler",0
"gns_spf","trawler",0
"fpn_ana","trawler",0
"lhp","trawler",0
"icefishing","trawler",0
"inland","trawler",0
"otm","guide",0
"gns_fws","guide",0
"gns_spf","guide",0
"fpn_ana","guide",0
"lhp","guide",1
"icefishing","guide",0
"inland","guide",0
