"gear","target","prob","target.code"
"otm","herring",1,"her"
"gns_fws","herring",0,"her"
"gns_spf","herring",0.994687300800029,"her"
"fpn_ana","herring",0,"her"
"lhp","herring",0.0710854947166186,"her"
"icefishing","herring",0,"her"
"inland","herring",0,"her"
"otm","perch",0,"per"
"gns_fws","perch",0.443334963574407,"per"
"gns_spf","perch",0,"per"
"fpn_ana","perch",0,"per"
"lhp","perch",0.291066282420749,"per"
"icefishing","perch",0.333333333333333,"per"
"inland","perch",0,"per"
"otm","pike",0,"pik"
"gns_fws","pike",0,"pik"
"gns_spf","pike",0,"pik"
"fpn_ana","pike",0,"pik"
"lhp","pike",0.178674351585014,"pik"
"icefishing","pike",0.333333333333333,"pik"
"inland","pike",0,"pik"
"otm","salmon",0,"sal"
"gns_fws","salmon",0,"sal"
"gns_spf","salmon",0,"sal"
"fpn_ana","salmon",0.658011563883754,"sal"
"lhp","salmon",0.048030739673391,"sal"
"icefishing","salmon",0,"sal"
"inland","salmon",0,"sal"
"otm","sea_trout",0,"sea"
"gns_fws","sea_trout",0.0322213619051578,"sea"
"gns_spf","sea_trout",0,"sea"
"fpn_ana","sea_trout",0.0554966958534171,"sea"
"lhp","sea_trout",0.131604226705091,"sea"
"icefishing","sea_trout",0,"sea"
"inland","sea_trout",0,"sea"
"otm","whitefish",0,"whi"
"gns_fws","whitefish",0.42025767356446,"whi"
"gns_spf","whitefish",0,"whi"
"fpn_ana","whitefish",0.232700923029773,"whi"
"lhp","whitefish",0.0307396733909702,"whi"
"icefishing","whitefish",0.333333333333333,"whi"
"inland","whitefish",0,"whi"
"otm","not_specified",0,"not"
"gns_fws","not_specified",0.104186000955975,"not"
"gns_spf","not_specified",0.00531269919997146,"not"
"fpn_ana","not_specified",0.0537908172330557,"not"
"lhp","not_specified",0.248799231508165,"not"
"icefishing","not_specified",0,"not"
"inland","not_specified",1,"not"
