"gear_type","target_assemblage","fdays","cum_val","prop","metier"
"GNS","FWS",2280.45454545455,0.416342567060932,0.416342567060932,"GNS_FWS"
"GNS","SPF",1398.2303030303,0.671617461649978,0.255274894589046,"GNS_SPF"
"FPN","ANA",985.007792207792,0.851450325935843,0.179832864285866,"FPN_ANA"
"FPO","FWS",232.045454545455,0.893814862608079,0.0423645366722355,"FPO_FWS"
"FYK","CAT",92.5454545454545,0.9107108854611,0.0168960228530209,"FYK_CAT"
"FPN","FWS",90.6666666666667,0.927263898026993,0.0165530125658934,"FPN_FWS"
"FYK","FWS",82.7,0.942362436326986,0.0150985382999932,"FYK_FWS"
"OTB","SPF",71.5,0.955416190721781,0.0130537543947946,"OTB_SPF"
"FYK","ANA",63.1428571428571,0.966944181615885,0.0115279908941043,"FYK_ANA"
"FYK","SPF",57,0.977350671133414,0.0104064895175286,"FYK_SPF"
"NK","NK",41.1666666666667,0.984866469118296,0.00751579798488174,"NK_NK"
"GNS","ANA",35.375,0.991324882568867,0.00645841345057146,"GNS_ANA"
"FPO","ANA",14.6666666666667,0.994002575778056,0.00267769320918864,"FPO_ANA"
"GNS","DEF",14,0.996558555659554,0.00255597988149824,"GNS_DEF"
"OTM","SPF",10.25,0.998429898072794,0.00187134241323979,"OTM_SPF"
"SSC","DEF",6.6,0.999634860016929,0.00120496194413489,"SSC_DEF"
"SB","FIF",2,1,0.000365139983071178,"SB_FIF"
