"gear","area","target","id_q","id_sub","value","range.lwr","range.upr","unit_range","id_I","text","score_obs","description","event_code","short_description","uncertainty","min","max","value.norm","unc.norm"
"not_specified",NA,NA,2,"a",NA,NA,NA,NA,1,"Very different, depends on what is booked. Sometimes ice fishing is booked and then we have to cancel all bookings, sometimes open water fishing is possible. Lose ice fishing customers and gain spin fishing ones; 1   ice fishing (spin fishing customers can’t be booked in advance in winter, you can’t count on a heatwave in winter)","M","Heatwave in the winter season","hww","go_fishing",1.5,1,5,NA,NA
"ice fishing",NA,NA,2,"a",1,NA,NA,NA,1,"Very different, depends on what is booked. Sometimes ice fishing is booked and then we have to cancel all bookings, sometimes open water fishing is possible. Lose ice fishing customers and gain spin fishing ones; 1   ice fishing (spin fishing customers can’t be booked in advance in winter, you can’t count on a heatwave in winter)","M","Heatwave in the winter season","hww","go_fishing",1.5,1,5,0,0.12
"rod",NA,NA,2,"a",5,NA,NA,NA,1,"Very different, depends on what is booked. Sometimes ice fishing is booked and then we have to cancel all bookings, sometimes open water fishing is possible. Lose ice fishing customers and gain spin fishing ones; 1   ice fishing (spin fishing customers can’t be booked in advance in winter, you can’t count on a heatwave in winter)","M","Heatwave in the winter season","hww","go_fishing",1.5,1,5,1,0.12
"not_specified",NA,NA,2,"b",4,NA,NA,NA,1,"4. Some fishing is closed if it gets too hot, e.g., river fishing. It’s difficult to fish if it gets extremely hot, but I try to adapt; so far I haven’t canceled coastal fishing, I move it to mornings & evenings. But, for example, Nyköpingsån was closed because the water was too warm. Also depends on how hot it is. It happened in 2018, depends on what happens with our fish","4","Heatwave in the summer season","hws","go_fishing",1.5,1,5,0.75,0.12
"ice fishing",NA,NA,2,"b",NA,NA,NA,NA,1,"4. Some fishing is closed if it gets too hot, e.g., river fishing. It’s difficult to fish if it gets extremely hot, but I try to adapt; so far I haven’t canceled coastal fishing, I move it to mornings & evenings. But, for example, Nyköpingsån was closed because the water was too warm. Also depends on how hot it is. It happened in 2018, depends on what happens with our fish","4","Heatwave in the summer season","hws","go_fishing",1.5,1,5,NA,NA
"rod",NA,NA,2,"b",NA,NA,NA,NA,1,"4. Some fishing is closed if it gets too hot, e.g., river fishing. It’s difficult to fish if it gets extremely hot, but I try to adapt; so far I haven’t canceled coastal fishing, I move it to mornings & evenings. But, for example, Nyköpingsån was closed because the water was too warm. Also depends on how hot it is. It happened in 2018, depends on what happens with our fish","4","Heatwave in the summer season","hws","go_fishing",1.5,1,5,NA,NA
"not_specified",NA,NA,2,"c",1,NA,NA,NA,1,"1. Haven’t experienced severe icing, only seen it on YouTube; don’t know if it happens on sportfishing boats; it has to be safe, not dangerous; if it’s icing like on the Great Lakes, then the boat breaks","1","Severe icing (in the winter season)","ici","go_fishing",1.5,1,5,0,0.12
"ice fishing",NA,NA,2,"c",NA,NA,NA,NA,1,"1. Haven’t experienced severe icing, only seen it on YouTube; don’t know if it happens on sportfishing boats; it has to be safe, not dangerous; if it’s icing like on the Great Lakes, then the boat breaks","1","Severe icing (in the winter season)","ici","go_fishing",1.5,1,5,NA,NA
"rod",NA,NA,2,"c",NA,NA,NA,NA,1,"1. Haven’t experienced severe icing, only seen it on YouTube; don’t know if it happens on sportfishing boats; it has to be safe, not dangerous; if it’s icing like on the Great Lakes, then the boat breaks","1","Severe icing (in the winter season)","ici","go_fishing",1.5,1,5,NA,NA
"not_specified",NA,NA,2,"d",1,NA,NA,NA,1,"1. Usually happens offshore; can’t handle it if I have a trip, e.g., from Sandhamn, but then we can go inland when there’s algal bloom","1","Algal bloom (in the summer season)","abl","go_fishing",1.5,1,5,0,0.12
"ice fishing",NA,NA,2,"d",NA,NA,NA,NA,1,"1. Usually happens offshore; can’t handle it if I have a trip, e.g., from Sandhamn, but then we can go inland when there’s algal bloom","1","Algal bloom (in the summer season)","abl","go_fishing",1.5,1,5,NA,NA
"rod",NA,NA,2,"d",NA,NA,NA,NA,1,"1. Usually happens offshore; can’t handle it if I have a trip, e.g., from Sandhamn, but then we can go inland when there’s algal bloom","1","Algal bloom (in the summer season)","abl","go_fishing",1.5,1,5,NA,NA
"not_specified",NA,NA,2,"e",1,NA,NA,NA,1,"1, dangerous","1","Extreme cloudburst (in the summer season)","erf","go_fishing",1.5,1,5,0,0.12
"ice fishing",NA,NA,2,"e",NA,NA,NA,NA,1,"1, dangerous","1","Extreme cloudburst (in the summer season)","erf","go_fishing",1.5,1,5,NA,NA
"rod",NA,NA,2,"e",NA,NA,NA,NA,1,"1, dangerous","1","Extreme cloudburst (in the summer season)","erf","go_fishing",1.5,1,5,NA,NA
"not_specified",NA,NA,2,"f",5,NA,NA,NA,1,"5Gale is normal (sometimes we cancel), from strong gale and upwards we stay home (18 19 m/s average and 25 m/s in gusts is not possible) ","5","Gale","gal","go_fishing",1.5,1,5,1,0.12
"ice fishing",NA,NA,2,"f",NA,NA,NA,NA,1,"5Gale is normal (sometimes we cancel), from strong gale and upwards we stay home (18 19 m/s average and 25 m/s in gusts is not possible) ","5","Gale","gal","go_fishing",1.5,1,5,NA,NA
"rod",NA,NA,2,"f",NA,NA,NA,NA,1,"5Gale is normal (sometimes we cancel), from strong gale and upwards we stay home (18 19 m/s average and 25 m/s in gusts is not possible) ","5","Gale","gal","go_fishing",1.5,1,5,NA,NA
"not_specified",NA,NA,2,"g",1,NA,NA,NA,1,"1","1","Storm","sto","go_fishing",1.5,1,5,0,0.12
"ice fishing",NA,NA,2,"g",NA,NA,NA,NA,1,"1","1","Storm","sto","go_fishing",1.5,1,5,NA,NA
"rod",NA,NA,2,"g",NA,NA,NA,NA,1,"1","1","Storm","sto","go_fishing",1.5,1,5,NA,NA
"not_specified",NA,NA,3,"a",NA,NA,NA,NA,1,"1   ice fishing, there is no catchability if there are no fish; however, the fish like when it gets warmer, so if it’s spin fishing then 5","M","Heatwave in the winter season","hww","catchability",1.5,1,5,NA,NA
"ice fishing",NA,NA,3,"a",1,NA,NA,NA,1,"1   ice fishing, there is no catchability if there are no fish; however, the fish like when it gets warmer, so if it’s spin fishing then 5","M","Heatwave in the winter season","hww","catchability",1.5,1,5,0,0.12
"rod",NA,NA,3,"a",5,NA,NA,NA,1,"1   ice fishing, there is no catchability if there are no fish; however, the fish like when it gets warmer, so if it’s spin fishing then 5","M","Heatwave in the winter season","hww","catchability",1.5,1,5,1,0.12
"not_specified",NA,NA,3,"b",2,NA,NA,NA,1,"2","2","Heatwave in the summer season","hws","catchability",1.5,1,5,0.25,0.12
"ice fishing",NA,NA,3,"b",NA,NA,NA,NA,1,"2","2","Heatwave in the summer season","hws","catchability",1.5,1,5,NA,NA
"rod",NA,NA,3,"b",NA,NA,NA,NA,1,"2","2","Heatwave in the summer season","hws","catchability",1.5,1,5,NA,NA
"not_specified",NA,NA,3,"c",2,NA,NA,NA,1,"No, can’t conduct fishing; if it is possible to fish then it becomes 2.","2","Severe icing (in the winter season)","ici","catchability",1.5,1,5,0.25,0.12
"ice fishing",NA,NA,3,"c",NA,NA,NA,NA,1,"No, can’t conduct fishing; if it is possible to fish then it becomes 2.","2","Severe icing (in the winter season)","ici","catchability",1.5,1,5,NA,NA
"rod",NA,NA,3,"c",NA,NA,NA,NA,1,"No, can’t conduct fishing; if it is possible to fish then it becomes 2.","2","Severe icing (in the winter season)","ici","catchability",1.5,1,5,NA,NA
"not_specified",NA,NA,3,"d",2,NA,NA,NA,1,"2, the fish move from that area; also becomes difficult fishing (fished during an algal bloom this summer, had to go all the way into the bay because where we intended to fish we only got weeds on the hook).","2","Algal bloom (in the summer season)","abl","catchability",1.5,1,5,0.25,0.12
"ice fishing",NA,NA,3,"d",NA,NA,NA,NA,1,"2, the fish move from that area; also becomes difficult fishing (fished during an algal bloom this summer, had to go all the way into the bay because where we intended to fish we only got weeds on the hook).","2","Algal bloom (in the summer season)","abl","catchability",1.5,1,5,NA,NA
"rod",NA,NA,3,"d",NA,NA,NA,NA,1,"2, the fish move from that area; also becomes difficult fishing (fished during an algal bloom this summer, had to go all the way into the bay because where we intended to fish we only got weeds on the hook).","2","Algal bloom (in the summer season)","abl","catchability",1.5,1,5,NA,NA
