"fishing_style","parent","state","n","prob"
"coastal","major.no","high",773,0.773
"coastal","major.no","low",22,0.022
"coastal","major.no","medium",205,0.205
"coastal","major.travel","high",847,0.847
"coastal","major.travel","low",9,0.009
"coastal","major.travel","medium",144,0.144
"coastal","minor.no","high",79,0.079
"coastal","minor.no","low",659,0.659
"coastal","minor.no","medium",147,0.147
"coastal","minor.no","negligible",115,0.115
"coastal","minor.travel","high",205,0.205
"coastal","minor.travel","low",512,0.512
"coastal","minor.travel","medium",273,0.273
"coastal","minor.travel","negligible",10,0.01
"coastal","no.travel","high",75,0.075
"coastal","no.travel","low",503,0.503
"coastal","no.travel","medium",114,0.114
"coastal","no.travel","negligible",308,0.308
"trawler","major.no","low",638,0.638
"trawler","major.no","negligible",362,0.362
"trawler","major.travel","low",987,0.987
"trawler","major.travel","negligible",13,0.013
"trawler","minor.no","negligible",1000,1
"trawler","minor.travel","low",690,0.69
"trawler","minor.travel","negligible",310,0.31
"trawler","no.travel","low",563,0.563
"trawler","no.travel","negligible",437,0.437
"recreational","major.no","high",1000,1
"recreational","major.travel","high",1000,1
"recreational","minor.no","high",1000,1
"recreational","minor.travel","high",1000,1
"recreational","no.travel","high",124,0.124
"recreational","no.travel","low",535,0.535
"recreational","no.travel","medium",337,0.337
"recreational","no.travel","negligible",4,0.004
"guide","major.no","high",1000,1
"guide","major.travel","high",1000,1
"guide","minor.no","high",997,0.997
"guide","minor.no","medium",3,0.003
"guide","minor.travel","high",1000,1
"guide","no.travel","low",1000,1
"archipelago","major.no","high",1000,1
"archipelago","major.travel","high",1000,1
"archipelago","minor.no","high",714,0.714
"archipelago","minor.no","low",72,0.072
"archipelago","minor.no","medium",214,0.214
"archipelago","minor.travel","high",997,0.997
"archipelago","minor.travel","medium",3,0.003
"archipelago","no.travel","high",952,0.952
"archipelago","no.travel","low",23,0.023
"archipelago","no.travel","medium",20,0.02
"archipelago","no.travel","negligible",5,0.005
