"fishing_style","parent","state","n","prob"
"small_scale","major.no","high",776,0.776
"small_scale","major.no","low",37,0.037
"small_scale","major.no","medium",187,0.187
"small_scale","major.no.miss","high",875,0.875
"small_scale","major.no.miss","low",10,0.01
"small_scale","major.no.miss","medium",115,0.115
"small_scale","major.travel","high",870,0.87
"small_scale","major.travel","low",16,0.016
"small_scale","major.travel","medium",114,0.114
"small_scale","major.travel.miss","high",928,0.928
"small_scale","major.travel.miss","low",3,0.003
"small_scale","major.travel.miss","medium",69,0.069
"small_scale","minor.no","high",108,0.108
"small_scale","minor.no","low",602,0.602
"small_scale","minor.no","medium",125,0.125
"small_scale","minor.no","negligible",165,0.165
"small_scale","minor.no.miss","high",327,0.327
"small_scale","minor.no.miss","low",332,0.332
"small_scale","minor.no.miss","medium",334,0.334
"small_scale","minor.no.miss","negligible",7,0.007
"small_scale","minor.travel","high",293,0.293
"small_scale","minor.travel","low",375,0.375
"small_scale","minor.travel","medium",313,0.313
"small_scale","minor.travel","negligible",19,0.019
"small_scale","minor.travel.miss","high",534,0.534
"small_scale","minor.travel.miss","low",141,0.141
"small_scale","minor.travel.miss","medium",325,0.325
"small_scale","no.no.miss","high",208,0.208
"small_scale","no.no.miss","low",484,0.484
"small_scale","no.no.miss","medium",207,0.207
"small_scale","no.no.miss","negligible",101,0.101
"small_scale","no.travel","high",158,0.158
"small_scale","no.travel","low",483,0.483
"small_scale","no.travel","medium",177,0.177
"small_scale","no.travel","negligible",182,0.182
"small_scale","no.travel.miss","high",380,0.38
"small_scale","no.travel.miss","low",284,0.284
"small_scale","no.travel.miss","medium",326,0.326
"small_scale","no.travel.miss","negligible",10,0.01
"trawler","major.no","low",613,0.613
"trawler","major.no","negligible",387,0.387
"trawler","major.no.miss","high",1,0.001
"trawler","major.no.miss","low",627,0.627
"trawler","major.no.miss","medium",372,0.372
"trawler","major.travel","low",873,0.873
"trawler","major.travel","medium",118,0.118
"trawler","major.travel","negligible",9,0.009
"trawler","major.travel.miss","high",44,0.044
"trawler","major.travel.miss","low",126,0.126
"trawler","major.travel.miss","medium",830,0.83
"trawler","minor.no","negligible",1000,1
"trawler","minor.no.miss","low",925,0.925
"trawler","minor.no.miss","medium",71,0.071
"trawler","minor.no.miss","negligible",4,0.004
"trawler","minor.travel","low",860,0.86
"trawler","minor.travel","medium",23,0.023
"trawler","minor.travel","negligible",117,0.117
"trawler","minor.travel.miss","high",16,0.016
"trawler","minor.travel.miss","low",333,0.333
"trawler","minor.travel.miss","medium",651,0.651
"trawler","no.no.miss","low",942,0.942
"trawler","no.no.miss","medium",53,0.053
"trawler","no.no.miss","negligible",5,0.005
"trawler","no.travel","low",830,0.83
"trawler","no.travel","medium",21,0.021
"trawler","no.travel","negligible",149,0.149
"trawler","no.travel.miss","high",12,0.012
"trawler","no.travel.miss","low",370,0.37
"trawler","no.travel.miss","medium",618,0.618
"recreational","major.no","high",1000,1
"recreational","major.no.miss",NA,1000,1
"recreational","major.travel","high",1000,1
"recreational","major.travel.miss",NA,1000,1
"recreational","minor.no","high",1000,1
"recreational","minor.no.miss",NA,1000,1
"recreational","minor.travel","high",1000,1
"recreational","minor.travel.miss",NA,1000,1
"recreational","no.no.miss",NA,1000,1
"recreational","no.travel","high",75,0.075
"recreational","no.travel","low",613,0.613
"recreational","no.travel","medium",301,0.301
"recreational","no.travel","negligible",11,0.011
"recreational","no.travel.miss",NA,1000,1
"guide","major.no","high",1000,1
"guide","major.no.miss","high",1000,1
"guide","major.travel","high",1000,1
"guide","major.travel.miss","high",1000,1
"guide","minor.no","high",997,0.997
"guide","minor.no","medium",3,0.003
"guide","minor.no.miss","high",1000,1
"guide","minor.travel","high",1000,1
"guide","minor.travel.miss","high",1000,1
"guide","no.no.miss","high",24,0.024
"guide","no.no.miss","medium",976,0.976
"guide","no.travel","low",1000,1
"guide","no.travel.miss","high",443,0.443
"guide","no.travel.miss","medium",557,0.557
"household","major.no","high",1000,1
"household","major.no.miss",NA,1000,1
"household","major.travel","high",1000,1
"household","major.travel.miss",NA,1000,1
"household","minor.no","high",906,0.906
"household","minor.no","low",8,0.008
"household","minor.no","medium",86,0.086
"household","minor.no.miss",NA,1000,1
"household","minor.travel","high",974,0.974
"household","minor.travel","low",1,0.001
"household","minor.travel","medium",25,0.025
"household","minor.travel.miss",NA,1000,1
"household","no.no.miss",NA,1000,1
"household","no.travel","high",208,0.208
"household","no.travel","low",383,0.383
"household","no.travel","medium",344,0.344
"household","no.travel","negligible",65,0.065
"household","no.travel.miss",NA,1000,1
