"gear","area","target","id_q","id_sub.x","value","range.lwr","range.upr","unit_range","id_I","short_description","id_sub.y","text","score_obs","style","description","LIKERT"
NA,NA,NA,11,NA,NA,"10000","20000","sek_unit",1,"minor_damage_cost","NA","10 20k kr",NA,"fishing guide","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"20000","6e+06","sek_unit",1,"major_damage_cost","NA","20 600k  kr",NA,"fishing guide","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,"100",NA,NA,NA,1,"fdays","NA","100","100","fishing guide","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA,"6000","8000","sek_day",1,"income","NA","6000 8000 SEK/day and boat, generally the same for everyone",NA,"fishing guide","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA,"50000","10000","sek_season",1,"season_maint","NA","oh, you don’t want to know! what I do is so uneconomical; if the engine breaks then several 100,000 SEK go up in smoke, electric motor 50,000 SEK, sonar 50,000 SEK; is it rather 100,000 200,000 than 10,000 50,000 SEK? yes. Large part is expenses for material, applies also to the cars; 5 days a week fishing, 1 service day per week, 1 family day ",NA,"fishing guide","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,"1000","1000","sek_day",1,"fuel_trip","NA","maybe 1000 SEK/fishing day; this is the biggest expense besides food for a day",NA,"fishing guide","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,"500","500","sek_day",1,"extra_fuel","NA","1500 SEK for such a longer travel day",NA,"fishing guide","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,"2000","3000","sek_day",1,"extra_crew","NA","I always guide myself; there are some who sometimes take in an extra person; quite expensive, since it is salary and employer’s contributions etc. (guess they get 1500 SEK, so in total it becomes 3000 SEK).",NA,"fishing guide","What are the costs for extra crew on board?","[free text description]"
NA,NA,NA,42,NA,NA,NA,NA,"sek_day",1,"extra_cleaning_cost","NA","a whole workday for service, so it costs what I earn on a fishing day; no, not for algal bloom, but in gale or storm there are many lines that must be fixed; twice I have broken the boat due to icing, the trim motor and the steering, 15,000 SEK per time. ",NA,"fishing guide","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"sek_day",1,"exytra_other","NA","the biggest cost is the loss of income. Cancelled fishing days. A tourist usually does not rebook, especially if it is short notice change then I don’t have time to get in something else. Guides for corporate events are at 30,000 SEK, or 60,000 SEK when we are out with 6 boats; if you miss that then the whole income disappears; loss of income also arises because people do not book when there is extreme weather.",NA,"fishing guide","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
NA,NA,NA,11,NA,NA,"10000","50000","sek_unit",2,"minor_damage_cost","NA","Tens of thousands of SEK, nets and such",NA,"coastal","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"1e+05","5e+05","sek_unit",2,"major_damage_cost","NA","Several hundred thousand SEK ",NA,"coastal","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,NA,"50","100","days",2,"fdays","NA","Hard to say. If we have 6 months without ice, we actively fish 1 third of the days. But we keep the gear in the water all ice free days.",NA,"coastal","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA,"1e+06","1500000","sek_season",2,"income","NA","Impossible to calculate per day. Over 6 months? It’s the four weeks of vendace fishing that make up the income. This varies. I haven’t broken down exactly what the fishing itself gives, plus there’s all the processing afterwards. Then you’d also have to deduct labor costs. Teija calculates roughly to get a value: 1.4 million SEK per year from vendace fishing. Plus some perch and bream. We haven’t fished salmon for several seasons — the quota is fished up in 7 days  [by those who have good fishing waters near the Torne River), so it’s not worth setting the gear, since it takes a week to set and a week to haul.",NA,"coastal","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA,"1e+05","5e+05","sek_season",2,"season_maint","NA","I don’t remember, it gets lumped together with all other repairs at Guldhaven. We buy 1 boat per season   several hundred thousand SEK   and a new trawl, 200k SEK, other stuff 100k SEK. Roughly 0.5 million SEK over two years.",NA,"coastal","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,NA,NA,"sek_day",2,"fuel_trip","NA","Don’t dare estimate.",NA,"coastal","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,NA,NA,"sek_day",2,"extra_fuel","NA","Marginal, since we have such short distances",NA,"coastal","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,NA,NA,"sek_day",2,"extra_crew","NA","None for fishing itself. We bring in staff for processing  [130 people). Finding staff is the limiting factor in fishing, especially when there is as much vendace as there is now",NA,"coastal","What are the costs for extra crew on board?","[free text description]"
NA,NA,NA,42,NA,NA,"3","3","minutes_gear",2,"extra_cleaning_cost","NA","Cleaning traps takes some time, and it gets worse as the water gets warmer. Cleaning 10 traps took 0.5 h. Now we only have 20 traps in the water because of the perch, but when we fish the most, we have 100 traps. Then it means a lot of driving to clean them every three weeks; otherwise, they stay all season, or we clean once. Built ourselves from mink wire. Clean with a pressure washer. Same with bream traps",NA,"coastal","What are the costs for gear cleaning (in case of unusual fouling, e.g., due to algal bloom)?","[free text description]"
NA,NA,NA,43,NA,NA,NA,NA,"not_reported",2,"exytra_other","NA","Things blow away. Doesn’t cost much, but takes time to pick everything up when it’s scattered across the bay.",NA,"coastal","Are there any other extra costs that may arise during extreme weather events, and how large are they then?","[free text description]"
NA,NA,NA,11,NA,NA,"1","50000","sek_year",3,"minor_damage_cost","NA","50,000 SEK/year for nets that break, or propellers when blown  onto land/rocks",NA,"coastal","What are the costs of repairing minor damages to gear and boat?","[free text description]"
NA,NA,NA,12,NA,NA,"50000","2e+05","sek",3,"major_damage_cost","NA","Rare for boats – then we wouldn’t be out. But a salmon trap can be destroyed in a summer storm, costing 200,000 SEK",NA,"coastal","What are the costs of repairing major damages to gear and boat?","[free text description]"
NA,NA,NA,36,NA,NA,"120","150","days",3,"fdays","NA","Varies, 120–150 days of net fishing.",NA,"coastal","Approximately how many days per year do you fish?","[free text description]"
NA,NA,NA,37,NA,NA,"10000","15000","sek_day",3,"income","NA","Hard to say. Some days 10–15,000 SEK, other days 0 if seals eat everything",NA,"coastal","Approximately how large is your gross income from a fishing day on average?","[free text description]"
NA,NA,NA,38,NA,NA,"150000","2e+05","sek_season",3,"season_maint","NA","About 200,000 SEK. 100–150,000 in damages. A lot of time spent on repairs, much voluntary work, patching holes in winter",NA,"coastal","How large are the repair and maintenance costs for the fishing during one year?","[free text description]"
NA,NA,NA,39,NA,NA,"1500","2500","sek_day",3,"fuel_trip","NA","Several thousand SEK. Longest trips 2–3 hours out: 3,000–5,000 SEK/day. Short trips about half. Sometimes just outside the restaurant here",NA,"coastal","How large are the fuel costs (or fuel consumption) for a fishing trip on average?","[free text description]"
NA,NA,NA,40,NA,NA,"3000","5000","sek_day",3,"extra_fuel","NA","See previous",NA,"coastal","What are the costs for extra fuel to travel further than normal?","[free text description]"
NA,NA,NA,41,NA,NA,"0","200","sek_hour",3,"extra_crew","NA","Rare – usually only if a lot of fish. Then about 200 SEK/hour, unless pensioners help voluntarily.",NA,"coastal","What are the costs for extra crew on board?","[free text description]"
