"prob","est","fishing_style","node"
0.04,"low","guide","infrastructure"
0.24,"medium","guide","infrastructure"
0.72,"high","guide","infrastructure"
1,"low","coastal","infrastructure"
0,"medium","coastal","infrastructure"
0,"high","coastal","infrastructure"
0.01,"low","archipelago","infrastructure"
0.24,"medium","archipelago","infrastructure"
0.75,"high","archipelago","infrastructure"
0.31,"low","recreational","infrastructure"
0.38,"medium","recreational","infrastructure"
0.31,"high","recreational","infrastructure"
0.19,"low","trawler","infrastructure"
0.57,"medium","trawler","infrastructure"
0.24,"high","trawler","infrastructure"
0.04,"low","guide","management_space"
0.23,"medium","guide","management_space"
0.73,"high","guide","management_space"
0.38,"low","coastal","management_space"
0.28,"medium","coastal","management_space"
0.34,"high","coastal","management_space"
0.73,"low","archipelago","management_space"
0.25,"medium","archipelago","management_space"
0.02,"high","archipelago","management_space"
0.21,"low","recreational","management_space"
0.36,"medium","recreational","management_space"
0.43,"high","recreational","management_space"
0,"low","trawler","management_space"
0.14,"medium","trawler","management_space"
0.86,"high","trawler","management_space"
0.02,"low","guide","management_species"
0.22,"medium","guide","management_species"
0.76,"high","guide","management_species"
0.31,"low","coastal","management_species"
0.37,"medium","coastal","management_species"
0.32,"high","coastal","management_species"
0,"low","archipelago","management_species"
0,"medium","archipelago","management_species"
1,"high","archipelago","management_species"
0.38,"low","recreational","management_species"
0.26,"medium","recreational","management_species"
0.36,"high","recreational","management_species"
1,"low","trawler","management_species"
0,"medium","trawler","management_species"
0,"high","trawler","management_species"
0,"low","guide","entrepeneurship"
0.31,"medium","guide","entrepeneurship"
0.69,"high","guide","entrepeneurship"
0,"low","coastal","entrepeneurship"
0.04,"medium","coastal","entrepeneurship"
0.96,"high","coastal","entrepeneurship"
0.71,"low","archipelago","entrepeneurship"
0.29,"medium","archipelago","entrepeneurship"
0,"high","archipelago","entrepeneurship"
0.14,"low","recreational","entrepeneurship"
0.45,"medium","recreational","entrepeneurship"
0.41,"high","recreational","entrepeneurship"
0.15,"low","trawler","entrepeneurship"
0.34,"medium","trawler","entrepeneurship"
0.51,"high","trawler","entrepeneurship"
0.97,"low","guide","credit"
0.03,"medium","guide","credit"
0,"high","guide","credit"
0.94,"low","coastal","credit"
0.06,"medium","coastal","credit"
0,"high","coastal","credit"
1,"low","archipelago","credit"
0,"medium","archipelago","credit"
0,"high","archipelago","credit"
1,"low","recreational","credit"
0,"medium","recreational","credit"
0,"high","recreational","credit"
0.09,"low","trawler","credit"
0.27,"medium","trawler","credit"
0.64,"high","trawler","credit"
