"","code","type","id_sub","value","description","event_code"
"1","fgu","YES","a",0.9,"Heatwave in the winter season","hww"
"2","fgu","YES","b",0.8,"Heatwave in the summer season","hws"
"3","fgu","YES","c",0.7,"Severe icing (in the winter season)","ici"
"4","fgu","YES","d",0.78,"Algal bloom (in the summer season)","abl"
"5","fgu","YES","e",0.56,"Extreme cloudburst (in the summer season)","erf"
"6","fgu","YES","f",0.78,"Gale","gal"
"7","fgu","YES","g",0.56,"Storm","sto"
"8","hhf","YES","a",0.7,"Heatwave in the winter season","hww"
"9","hhf","YES","b",0.8,"Heatwave in the summer season","hws"
"10","hhf","YES","c",0.1,"Severe icing (in the winter season)","ici"
"11","hhf","YES","d",0.78,"Algal bloom (in the summer season)","abl"
"12","hhf","YES","e",0.67,"Extreme cloudburst (in the summer season)","erf"
"13","hhf","YES","f",0.78,"Gale","gal"
"14","hhf","YES","g",0.78,"Storm","sto"
"15","rcf","YES","a",0.9,"Heatwave in the winter season","hww"
"16","rcf","YES","b",1,"Heatwave in the summer season","hws"
"17","rcf","YES","c",0.5,"Severe icing (in the winter season)","ici"
"18","rcf","YES","d",0.78,"Algal bloom (in the summer season)","abl"
"19","rcf","YES","e",0.89,"Extreme cloudburst (in the summer season)","erf"
"20","rcf","YES","f",0.89,"Gale","gal"
"21","rcf","YES","g",0.78,"Storm","sto"
"22","ssf","YES","a",0.6,"Heatwave in the winter season","hww"
"23","ssf","YES","b",0.97,"Heatwave in the summer season","hws"
"24","ssf","YES","c",0.23,"Severe icing (in the winter season)","ici"
"25","ssf","YES","d",0.63,"Algal bloom (in the summer season)","abl"
"26","ssf","YES","e",0.85,"Extreme cloudburst (in the summer season)","erf"
"27","ssf","YES","f",0.93,"Gale","gal"
"28","ssf","YES","g",0.81,"Storm","sto"
"29","trw","YES","a",1,"Heatwave in the winter season","hww"
"30","trw","YES","b",0.9,"Heatwave in the summer season","hws"
"31","trw","YES","c",0.9,"Severe icing (in the winter season)","ici"
"32","trw","YES","d",0.78,"Algal bloom (in the summer season)","abl"
"33","trw","YES","e",0.78,"Extreme cloudburst (in the summer season)","erf"
"34","trw","YES","f",0.78,"Gale","gal"
"35","trw","YES","g",0.89,"Storm","sto"
