"extreme_event","node","est","n","prob","notrel"
"abl","economic_risk","low",66696,0.66696,0
"abl","economic_risk","medium",11570,0.1157,0
"abl","economic_risk","high",21734,0.21734,0
"abl","individual_risk","low",36439,0.36439,0
"abl","individual_risk","medium",45220,0.4522,0
"abl","individual_risk","high",18341,0.18341,0
"abl","societal_risk","low",36439,0.36439,0
"abl","societal_risk","medium",57572,0.57572,0
"abl","societal_risk","high",5989,0.05989,0
"hws","economic_risk","low",83641,0.83641,0
"hws","economic_risk","medium",7754,0.07754,0
"hws","economic_risk","high",8605,0.08605,0
"hws","individual_risk","low",50821,0.50821,0
"hws","individual_risk","medium",41808,0.41808,0
"hws","individual_risk","high",7371,0.07371,0
"hws","societal_risk","low",50821,0.50821,0
"hws","societal_risk","medium",45453,0.45453,0
"hws","societal_risk","high",3726,0.03726,0
"hww","economic_risk","low",78175,0.78175,0
"hww","economic_risk","medium",2680,0.0268,0
"hww","economic_risk","high",19145,0.19145,0
"hww","individual_risk","low",41482,0.41482,0
"hww","individual_risk","medium",32373,0.32373,0
"hww","individual_risk","high",26145,0.26145,0
"hww","societal_risk","low",41482,0.41482,0
"hww","societal_risk","medium",47656,0.47656,0
"hww","societal_risk","high",10862,0.10862,0
"gal","economic_risk","low",53249,0.53249,0
"gal","economic_risk","medium",18881,0.18881,0
"gal","economic_risk","high",27870,0.2787,0
"gal","individual_risk","low",41739,0.41739,0
"gal","individual_risk","medium",42279,0.42279,0
"gal","individual_risk","high",15982,0.15982,0
"gal","societal_risk","low",41739,0.41739,0
"gal","societal_risk","medium",45861,0.45861,0
"gal","societal_risk","high",12400,0.124,0
"sto","economic_risk","low",70457,0.70457,0
"sto","economic_risk","medium",5805,0.05805,0
"sto","economic_risk","high",23738,0.23738,0
"sto","individual_risk","low",14375,0.14375,0
"sto","individual_risk","medium",53190,0.5319,0
"sto","individual_risk","high",32435,0.32435,0
"sto","societal_risk","low",14375,0.14375,0
"sto","societal_risk","medium",70178,0.70178,0
"sto","societal_risk","high",15447,0.15447,0
"erf","economic_risk","low",67206,0.67206,0
"erf","economic_risk","medium",5260,0.0526,0
"erf","economic_risk","high",27534,0.27534,0
"erf","individual_risk","low",25205,0.25205,0
"erf","individual_risk","medium",45985,0.45985,0
"erf","individual_risk","high",28810,0.2881,0
"erf","societal_risk","low",25205,0.25205,0
"erf","societal_risk","medium",63072,0.63072,0
"erf","societal_risk","high",11723,0.11723,0
"ici","economic_risk","low",4918,0.04918,0.60037
"ici","economic_risk","medium",8155,0.08155,0.60037
"ici","economic_risk","high",26890,0.2689,0.60037
"ici","economic_risk","Not Relevant",60037,0.60037,0.60037
"ici","individual_risk","low",19,0.00019,0.60037
"ici","individual_risk","medium",7608,0.07608,0.60037
"ici","individual_risk","high",32336,0.32336,0.60037
"ici","individual_risk","Not Relevant",60037,0.60037,0.60037
"ici","societal_risk","low",19,0.00019,0.60037
"ici","societal_risk","medium",23649,0.23649,0.60037
"ici","societal_risk","high",16295,0.16295,0.60037
"ici","societal_risk","Not Relevant",60037,0.60037,0.60037
