"fishing_style","node","est","n","prob","f.style"
"recreational","economic_risk","low",68632,0.68632,"rcf"
"recreational","economic_risk","medium",8206,0.08206,"rcf"
"recreational","economic_risk","high",8856,0.08856,"rcf"
"recreational","economic_risk","Not Relevant",14306,0.14306,"rcf"
"recreational","individual_risk","low",28236,0.28236,"rcf"
"recreational","individual_risk","medium",45975,0.45975,"rcf"
"recreational","individual_risk","high",11483,0.11483,"rcf"
"recreational","individual_risk","Not Relevant",14306,0.14306,"rcf"
"recreational","societal_risk","low",28236,0.28236,"rcf"
"recreational","societal_risk","medium",49434,0.49434,"rcf"
"recreational","societal_risk","high",8024,0.08024,"rcf"
"recreational","societal_risk","Not Relevant",14306,0.14306,"rcf"
"small_scale","economic_risk","low",50573,0.50573,"ssf"
"small_scale","economic_risk","medium",20718,0.20718,"ssf"
"small_scale","economic_risk","high",14447,0.14447,"ssf"
"small_scale","economic_risk","Not Relevant",14262,0.14262,"ssf"
"small_scale","individual_risk","low",35925,0.35925,"ssf"
"small_scale","individual_risk","medium",32817,0.32817,"ssf"
"small_scale","individual_risk","high",16996,0.16996,"ssf"
"small_scale","individual_risk","Not Relevant",14262,0.14262,"ssf"
"small_scale","societal_risk","low",35925,0.35925,"ssf"
"small_scale","societal_risk","medium",31458,0.31458,"ssf"
"small_scale","societal_risk","high",18355,0.18355,"ssf"
"small_scale","societal_risk","Not Relevant",14262,0.14262,"ssf"
"household","economic_risk","low",70688,0.70688,"hhf"
"household","economic_risk","medium",5184,0.05184,"hhf"
"household","economic_risk","high",9760,0.0976,"hhf"
"household","economic_risk","Not Relevant",14368,0.14368,"hhf"
"household","individual_risk","low",23339,0.23339,"hhf"
"household","individual_risk","medium",61990,0.6199,"hhf"
"household","individual_risk","high",303,0.00303,"hhf"
"household","individual_risk","Not Relevant",14368,0.14368,"hhf"
"household","societal_risk","low",23339,0.23339,"hhf"
"household","societal_risk","medium",62195,0.62195,"hhf"
"household","societal_risk","high",98,0.00098,"hhf"
"household","societal_risk","Not Relevant",14368,0.14368,"hhf"
"trawler","economic_risk","low",89222,0.89222,"trw"
"trawler","economic_risk","medium",5582,0.05582,"trw"
"trawler","economic_risk","high",5196,0.05196,"trw"
"trawler","individual_risk","low",48769,0.48769,"trw"
"trawler","individual_risk","medium",37381,0.37381,"trw"
"trawler","individual_risk","high",13850,0.1385,"trw"
"trawler","societal_risk","low",48769,0.48769,"trw"
"trawler","societal_risk","medium",37381,0.37381,"trw"
"trawler","societal_risk","high",13850,0.1385,"trw"
"guide","economic_risk","low",23608,0.23608,"fgu"
"guide","economic_risk","medium",3270,0.0327,"fgu"
"guide","economic_risk","high",73122,0.73122,"fgu"
"guide","individual_risk","low",13974,0.13974,"fgu"
"guide","individual_risk","medium",13027,0.13027,"fgu"
"guide","individual_risk","high",72999,0.72999,"fgu"
"guide","societal_risk","low",13974,0.13974,"fgu"
"guide","societal_risk","medium",71189,0.71189,"fgu"
"guide","societal_risk","high",14837,0.14837,"fgu"
