"","extreme_event","node","est","n","prob","iter"
"1","abl","economic_risk","low",59694,0.59694,1
"2","abl","economic_risk","medium",17265,0.17265,1
"3","abl","economic_risk","high",23041,0.23041,1
"4","abl","go_fishing","no",36014,0.36014,1
"5","abl","go_fishing","yes",63986,0.63986,1
"6","abl","individual_risk","low",33884,0.33884,1
"7","abl","individual_risk","medium",48145,0.48145,1
"8","abl","individual_risk","high",17971,0.17971,1
"9","abl","societal_risk","low",33884,0.33884,1
"10","abl","societal_risk","medium",58695,0.58695,1
"11","abl","societal_risk","high",7421,0.07421,1
"12","abl","strategy_to_change","cope",68407,0.68407,1
"13","abl","strategy_to_change","react",19084,0.19084,1
"14","abl","strategy_to_change","adapt",12509,0.12509,1
"15","hws","economic_risk","low",81368,0.81368,1
"16","hws","economic_risk","medium",9765,0.09765,1
"17","hws","economic_risk","high",8867,0.08867,1
"18","hws","go_fishing","no",8560,0.0856,1
"19","hws","go_fishing","yes",91440,0.9144,1
"20","hws","individual_risk","low",49280,0.4928,1
"21","hws","individual_risk","medium",42684,0.42684,1
"22","hws","individual_risk","high",8036,0.08036,1
"23","hws","societal_risk","low",49280,0.4928,1
"24","hws","societal_risk","medium",45366,0.45366,1
"25","hws","societal_risk","high",5354,0.05354,1
"26","hws","strategy_to_change","cope",21033,0.21033,1
"27","hws","strategy_to_change","react",50873,0.50873,1
"28","hws","strategy_to_change","adapt",28094,0.28094,1
"29","hww","economic_risk","low",73983,0.73983,1
"30","hww","economic_risk","medium",6857,0.06857,1
"31","hww","economic_risk","high",19160,0.1916,1
"32","hww","go_fishing","no",47706,0.47706,1
"33","hww","go_fishing","yes",52294,0.52294,1
"34","hww","individual_risk","low",38896,0.38896,1
"35","hww","individual_risk","medium",33032,0.33032,1
"36","hww","individual_risk","high",28072,0.28072,1
"37","hww","societal_risk","low",38896,0.38896,1
"38","hww","societal_risk","medium",44413,0.44413,1
"39","hww","societal_risk","high",16691,0.16691,1
"40","hww","strategy_to_change","cope",75289,0.75289,1
"41","hww","strategy_to_change","react",15594,0.15594,1
"42","hww","strategy_to_change","adapt",9117,0.09117,1
"43","gal","economic_risk","low",54331,0.54331,1
"44","gal","economic_risk","medium",17116,0.17116,1
"45","gal","economic_risk","high",28553,0.28553,1
"46","gal","go_fishing","no",18620,0.1862,1
"47","gal","go_fishing","yes",81380,0.8138,1
"48","gal","individual_risk","low",40530,0.4053,1
"49","gal","individual_risk","medium",40393,0.40393,1
"50","gal","individual_risk","high",19077,0.19077,1
"51","gal","societal_risk","low",40530,0.4053,1
"52","gal","societal_risk","medium",44064,0.44064,1
"53","gal","societal_risk","high",15406,0.15406,1
"54","gal","strategy_to_change","cope",62826,0.62826,1
"55","gal","strategy_to_change","react",31677,0.31677,1
"56","gal","strategy_to_change","adapt",5497,0.05497,1
"57","sto","economic_risk","low",65183,0.65183,1
"58","sto","economic_risk","medium",8863,0.08863,1
"59","sto","economic_risk","high",25954,0.25954,1
"60","sto","go_fishing","no",82353,0.82353,1
"61","sto","go_fishing","yes",17647,0.17647,1
"62","sto","individual_risk","low",12337,0.12337,1
"63","sto","individual_risk","medium",52625,0.52625,1
"64","sto","individual_risk","high",35038,0.35038,1
"65","sto","societal_risk","low",12337,0.12337,1
"66","sto","societal_risk","medium",67738,0.67738,1
"67","sto","societal_risk","high",19925,0.19925,1
"68","sto","strategy_to_change","cope",82353,0.82353,1
"69","sto","strategy_to_change","react",17647,0.17647,1
"70","erf","economic_risk","low",68917,0.68917,1
"71","erf","economic_risk","medium",7862,0.07862,1
"72","erf","economic_risk","high",23221,0.23221,1
"73","erf","go_fishing","no",68206,0.68206,1
"74","erf","go_fishing","yes",31794,0.31794,1
"75","erf","individual_risk","low",20779,0.20779,1
"76","erf","individual_risk","medium",51691,0.51691,1
"77","erf","individual_risk","high",27530,0.2753,1
