"","fishing_style","node","est","n","prob","iter"
"1","recreational","economic_buffers","low",100000,1,1
"2","recreational","economic_risk","low",67973,0.67973,1
"3","recreational","economic_risk","medium",8647,0.08647,1
"4","recreational","economic_risk","high",9141,0.09141,1
"5","recreational","economic_risk","not_relevant",14239,0.14239,1
"6","recreational","go_fishing","no",47545,0.47545,1
"7","recreational","go_fishing","yes",52455,0.52455,1
"8","recreational","individual_importance","medium",59839,0.59839,1
"9","recreational","individual_importance","high",40161,0.40161,1
"10","recreational","individual_risk","low",25088,0.25088,1
"11","recreational","individual_risk","medium",59873,0.59873,1
"12","recreational","individual_risk","high",800,0.008,1
"13","recreational","individual_risk","not_relevant",14239,0.14239,1
"14","recreational","societal_importance","medium",69484,0.69484,1
"15","recreational","societal_importance","high",30516,0.30516,1
"16","recreational","societal_risk","low",25088,0.25088,1
"17","recreational","societal_risk","medium",60080,0.6008,1
"18","recreational","societal_risk","high",593,0.00593,1
"19","recreational","societal_risk","not_relevant",14239,0.14239,1
"20","recreational","strategy_to_change","not_relevant",14239,0.14239,1
"21","recreational","strategy_to_change","cope",50393,0.50393,1
"22","recreational","strategy_to_change","react",14609,0.14609,1
"23","recreational","strategy_to_change","adapt",20759,0.20759,1
"24","recreational","substitution_capacity","no",22,0.00022,1
"25","recreational","substitution_capacity","yes",99978,0.99978,1
"26","small_scale","economic_buffers","low",92158,0.92158,1
"27","small_scale","economic_buffers","medium",7842,0.07842,1
"28","small_scale","economic_risk","low",34798,0.34798,1
"29","small_scale","economic_risk","medium",28220,0.2822,1
"30","small_scale","economic_risk","high",22665,0.22665,1
"31","small_scale","economic_risk","not_relevant",14317,0.14317,1
"32","small_scale","go_fishing","no",47063,0.47063,1
"33","small_scale","go_fishing","yes",52937,0.52937,1
"34","small_scale","individual_importance","medium",4410,0.0441,1
"35","small_scale","individual_importance","high",95590,0.9559,1
"36","small_scale","individual_risk","low",28630,0.2863,1
"37","small_scale","individual_risk","medium",22517,0.22517,1
"38","small_scale","individual_risk","high",34536,0.34536,1
"39","small_scale","individual_risk","not_relevant",14317,0.14317,1
"40","small_scale","societal_importance","high",100000,1,1
"41","small_scale","societal_risk","low",28630,0.2863,1
"42","small_scale","societal_risk","medium",20916,0.20916,1
"43","small_scale","societal_risk","high",36137,0.36137,1
"44","small_scale","societal_risk","not_relevant",14317,0.14317,1
"45","small_scale","strategy_to_change","not_relevant",14317,0.14317,1
"46","small_scale","strategy_to_change","cope",64133,0.64133,1
"47","small_scale","strategy_to_change","react",20699,0.20699,1
"48","small_scale","strategy_to_change","adapt",851,0.00851,1
"49","small_scale","substitution_capacity","no",84941,0.84941,1
"50","small_scale","substitution_capacity","yes",15059,0.15059,1
"51","household","economic_buffers","low",100000,1,1
"52","household","economic_risk","low",70957,0.70957,1
"53","household","economic_risk","medium",5282,0.05282,1
"54","household","economic_risk","high",9565,0.09565,1
"55","household","economic_risk","not_relevant",14196,0.14196,1
"56","household","go_fishing","no",58236,0.58236,1
"57","household","go_fishing","yes",41764,0.41764,1
"58","household","individual_importance","medium",52139,0.52139,1
"59","household","individual_importance","high",47861,0.47861,1
"60","household","individual_risk","low",25811,0.25811,1
"61","household","individual_risk","medium",59810,0.5981,1
"62","household","individual_risk","high",183,0.00183,1
"63","household","individual_risk","not_relevant",14196,0.14196,1
"64","household","societal_importance","medium",76992,0.76992,1
"65","household","societal_importance","high",23008,0.23008,1
"66","household","societal_risk","low",25811,0.25811,1
"67","household","societal_risk","medium",59871,0.59871,1
"68","household","societal_risk","high",122,0.00122,1
"69","household","societal_risk","not_relevant",14196,0.14196,1
"70","household","strategy_to_change","not_relevant",14196,0.14196,1
