"","fishing_style","extreme_event","node","est","n","iter"
"1","recreational","abl","economic_buffers","low",100000,1
"2","recreational","abl","economic_risk","low",29726,1
"3","recreational","abl","economic_risk","medium",42740,1
"4","recreational","abl","economic_risk","high",27534,1
"5","recreational","abl","go_fishing","yes",100000,1
"6","recreational","abl","individual_importance","medium",59669,1
"7","recreational","abl","individual_importance","high",40331,1
"8","recreational","abl","individual_risk","low",68583,1
"9","recreational","abl","individual_risk","medium",30874,1
"10","recreational","abl","individual_risk","high",543,1
"11","recreational","abl","societal_importance","medium",69217,1
"12","recreational","abl","societal_importance","high",30783,1
"13","recreational","abl","societal_risk","low",68583,1
"14","recreational","abl","societal_risk","medium",30995,1
"15","recreational","abl","societal_risk","high",422,1
"16","recreational","abl","strategy_to_change","react",71991,1
"17","recreational","abl","strategy_to_change","adapt",28009,1
"18","recreational","abl","substitution_capacity","no",15,1
"19","recreational","abl","substitution_capacity","yes",99985,1
"20","recreational","hws","economic_buffers","low",100000,1
"21","recreational","hws","economic_risk","low",100000,1
"22","recreational","hws","go_fishing","yes",100000,1
"23","recreational","hws","individual_importance","medium",59767,1
"24","recreational","hws","individual_importance","high",40233,1
"25","recreational","hws","individual_risk","low",48283,1
"26","recreational","hws","individual_risk","medium",50397,1
"27","recreational","hws","individual_risk","high",1320,1
"28","recreational","hws","societal_importance","medium",69309,1
"29","recreational","hws","societal_importance","high",30691,1
"30","recreational","hws","societal_risk","low",48283,1
"31","recreational","hws","societal_risk","medium",50728,1
"32","recreational","hws","societal_risk","high",989,1
"33","recreational","hws","strategy_to_change","adapt",100000,1
"34","recreational","hws","substitution_capacity","no",14,1
"35","recreational","hws","substitution_capacity","yes",99986,1
"36","recreational","hww","economic_buffers","low",100000,1
"37","recreational","hww","economic_risk","low",100000,1
"38","recreational","hww","go_fishing","no",83022,1
"39","recreational","hww","go_fishing","yes",16978,1
"40","recreational","hww","individual_importance","medium",59767,1
"41","recreational","hww","individual_importance","high",40233,1
"42","recreational","hww","individual_risk","low",9613,1
"43","recreational","hww","individual_risk","medium",90155,1
"44","recreational","hww","individual_risk","high",232,1
"45","recreational","hww","societal_importance","medium",69301,1
"46","recreational","hww","societal_importance","high",30699,1
"47","recreational","hww","societal_risk","low",9613,1
"48","recreational","hww","societal_risk","medium",90187,1
"49","recreational","hww","societal_risk","high",200,1
"50","recreational","hww","strategy_to_change","cope",83022,1
"51","recreational","hww","strategy_to_change","adapt",16978,1
"52","recreational","hww","substitution_capacity","no",19,1
"53","recreational","hww","substitution_capacity","yes",99981,1
"54","recreational","gal","economic_buffers","low",100000,1
"55","recreational","gal","economic_risk","low",45773,1
"56","recreational","gal","economic_risk","medium",18522,1
"57","recreational","gal","economic_risk","high",35705,1
"58","recreational","gal","go_fishing","no",1,1
"59","recreational","gal","go_fishing","yes",99999,1
"60","recreational","gal","individual_importance","medium",59811,1
"61","recreational","gal","individual_importance","high",40189,1
"62","recreational","gal","individual_risk","low",49978,1
"63","recreational","gal","individual_risk","medium",46722,1
"64","recreational","gal","individual_risk","high",3300,1
"65","recreational","gal","societal_importance","medium",69181,1
"66","recreational","gal","societal_importance","high",30819,1
"67","recreational","gal","societal_risk","low",49978,1
"68","recreational","gal","societal_risk","medium",47446,1
"69","recreational","gal","societal_risk","high",2576,1
"70","recreational","gal","strategy_to_change","cope",69072,1
"71","recreational","gal","strategy_to_change","react",30928,1
"72","recreational","gal","substitution_capacity","no",24,1
"73","recreational","gal","substitution_capacity","yes",99976,1
"74","recreational","sto","economic_buffers","low",100000,1
"75","recreational","sto","economic_risk","low",100000,1
"76","recreational","sto","go_fishing","no",100000,1
"77","recreational","sto","individual_importance","medium",59663,1
"78","recreational","sto","individual_importance","high",40337,1
"79","recreational","sto","individual_risk","medium",99994,1
"80","recreational","sto","individual_risk","high",6,1
"81","recreational","sto","societal_importance","medium",69032,1
"82","recreational","sto","societal_importance","high",30968,1
"83","recreational","sto","societal_risk","medium",99997,1
"84","recreational","sto","societal_risk","high",3,1
"85","recreational","sto","strategy_to_change","cope",100000,1
"86","recreational","sto","substitution_capacity","no",14,1
"87","recreational","sto","substitution_capacity","yes",99986,1
"88","recreational","erf","economic_buffers","low",100000,1
"89","recreational","erf","economic_risk","low",99991,1
"90","recreational","erf","economic_risk","high",9,1
"91","recreational","erf","go_fishing","no",99991,1
"92","recreational","erf","go_fishing","yes",9,1
"93","recreational","erf","individual_importance","medium",59770,1
"94","recreational","erf","individual_importance","high",40230,1
"95","recreational","erf","individual_risk","low",6,1
"96","recreational","erf","individual_risk","medium",99982,1
"97","recreational","erf","individual_risk","high",12,1
"98","recreational","erf","societal_importance","medium",69240,1
"99","recreational","erf","societal_importance","high",30760,1
"100","recreational","erf","societal_risk","low",6,1
"101","recreational","erf","societal_risk","medium",99988,1
"102","recreational","erf","societal_risk","high",6,1
"103","recreational","erf","strategy_to_change","cope",100000,1
"104","recreational","erf","substitution_capacity","no",22,1
"105","recreational","erf","substitution_capacity","yes",99978,1
"106","recreational","ici","economic_buffers","low",100000,1
"107","recreational","ici","economic_risk","not_relevant",100000,1
"108","recreational","ici","go_fishing","no",49756,1
"109","recreational","ici","go_fishing","yes",50244,1
"110","recreational","ici","individual_importance","medium",59482,1
"111","recreational","ici","individual_importance","high",40518,1
"112","recreational","ici","individual_risk","not_relevant",100000,1
"113","recreational","ici","societal_importance","medium",69204,1
"114","recreational","ici","societal_importance","high",30796,1
"115","recreational","ici","societal_risk","not_relevant",100000,1
"116","recreational","ici","strategy_to_change","not_relevant",100000,1
"117","recreational","ici","substitution_capacity","no",16,1
"118","recreational","ici","substitution_capacity","yes",99984,1
"119","small_scale","abl","economic_buffers","low",92293,1
"120","small_scale","abl","economic_buffers","medium",7707,1
"121","small_scale","abl","economic_risk","low",33457,1
"122","small_scale","abl","economic_risk","medium",40013,1
"123","small_scale","abl","economic_risk","high",26530,1
"124","small_scale","abl","go_fishing","no",13972,1
"125","small_scale","abl","go_fishing","yes",86028,1
"126","small_scale","abl","individual_importance","medium",4342,1
"127","small_scale","abl","individual_importance","high",95658,1
"128","small_scale","abl","individual_risk","low",41913,1
"129","small_scale","abl","individual_risk","medium",40116,1
"130","small_scale","abl","individual_risk","high",17971,1
"131","small_scale","abl","societal_importance","high",100000,1
"132","small_scale","abl","societal_risk","low",41913,1
"133","small_scale","abl","societal_risk","medium",39310,1
"134","small_scale","abl","societal_risk","high",18777,1
"135","small_scale","abl","strategy_to_change","cope",76924,1
"136","small_scale","abl","strategy_to_change","react",23076,1
"137","small_scale","abl","substitution_capacity","no",84999,1
"138","small_scale","abl","substitution_capacity","yes",15001,1
"139","small_scale","hws","economic_buffers","low",92165,1
"140","small_scale","hws","economic_buffers","medium",7835,1
"141","small_scale","hws","economic_risk","low",69561,1
"142","small_scale","hws","economic_risk","medium",17218,1
"143","small_scale","hws","economic_risk","high",13221,1
"144","small_scale","hws","go_fishing","no",16593,1
"145","small_scale","hws","go_fishing","yes",83407,1
"146","small_scale","hws","individual_importance","medium",4378,1
"147","small_scale","hws","individual_importance","high",95622,1
"148","small_scale","hws","individual_risk","low",43969,1
"149","small_scale","hws","individual_risk","medium",36989,1
"150","small_scale","hws","individual_risk","high",19042,1
"151","small_scale","hws","societal_importance","high",100000,1
"152","small_scale","hws","societal_risk","low",43969,1
"153","small_scale","hws","societal_risk","medium",36104,1
"154","small_scale","hws","societal_risk","high",19927,1
"155","small_scale","hws","strategy_to_change","cope",42326,1
"156","small_scale","hws","strategy_to_change","react",51664,1
"157","small_scale","hws","strategy_to_change","adapt",6010,1
"158","small_scale","hws","substitution_capacity","no",85009,1
"159","small_scale","hws","substitution_capacity","yes",14991,1
"160","small_scale","hww","economic_buffers","low",92210,1
"161","small_scale","hww","economic_buffers","medium",7790,1
"162","small_scale","hww","economic_risk","low",40283,1
"163","small_scale","hww","economic_risk","medium",30833,1
"164","small_scale","hww","economic_risk","high",28884,1
"165","small_scale","hww","go_fishing","no",77435,1
"166","small_scale","hww","go_fishing","yes",22565,1
"167","small_scale","hww","individual_importance","medium",4425,1
"168","small_scale","hww","individual_importance","high",95575,1
"169","small_scale","hww","individual_risk","low",12918,1
"170","small_scale","hww","individual_risk","medium",22704,1
"171","small_scale","hww","individual_risk","high",64378,1
"172","small_scale","hww","societal_importance","high",100000,1
"173","small_scale","hww","societal_risk","low",12918,1
"174","small_scale","hww","societal_risk","medium",19760,1
"175","small_scale","hww","societal_risk","high",67322,1
"176","small_scale","hww","strategy_to_change","cope",95515,1
"177","small_scale","hww","strategy_to_change","react",4485,1
"178","small_scale","hww","substitution_capacity","no",85144,1
"179","small_scale","hww","substitution_capacity","yes",14856,1
"180","small_scale","gal","economic_buffers","low",92202,1
"181","small_scale","gal","economic_buffers","medium",7798,1
"182","small_scale","gal","economic_risk","low",26757,1
"183","small_scale","gal","economic_risk","medium",40043,1
"184","small_scale","gal","economic_risk","high",33200,1
"185","small_scale","gal","go_fishing","no",38988,1
"186","small_scale","gal","go_fishing","yes",61012,1
"187","small_scale","gal","individual_importance","medium",4346,1
"188","small_scale","gal","individual_importance","high",95654,1
"189","small_scale","gal","individual_risk","low",46249,1
"190","small_scale","gal","individual_risk","medium",20248,1
"191","small_scale","gal","individual_risk","high",33503,1
"192","small_scale","gal","societal_importance","high",100000,1
"193","small_scale","gal","societal_risk","low",46249,1
"194","small_scale","gal","societal_risk","medium",18776,1
"195","small_scale","gal","societal_risk","high",34975,1
"196","small_scale","gal","strategy_to_change","cope",43253,1
"197","small_scale","gal","strategy_to_change","react",56747,1
"198","small_scale","gal","substitution_capacity","no",84996,1
"199","small_scale","gal","substitution_capacity","yes",15004,1
"200","small_scale","sto","economic_buffers","low",92259,1
"201","small_scale","sto","economic_buffers","medium",7741,1
"202","small_scale","sto","economic_risk","low",27264,1
"203","small_scale","sto","economic_risk","medium",37286,1
"204","small_scale","sto","economic_risk","high",35450,1
"205","small_scale","sto","go_fishing","no",90761,1
"206","small_scale","sto","go_fishing","yes",9239,1
"207","small_scale","sto","individual_importance","medium",4433,1
"208","small_scale","sto","individual_importance","high",95567,1
"209","small_scale","sto","individual_risk","low",7084,1
"210","small_scale","sto","individual_risk","medium",19018,1
"211","small_scale","sto","individual_risk","high",73898,1
"212","small_scale","sto","societal_importance","high",100000,1
"213","small_scale","sto","societal_risk","low",7084,1
"214","small_scale","sto","societal_risk","medium",15626,1
"215","small_scale","sto","societal_risk","high",77290,1
"216","small_scale","sto","strategy_to_change","cope",90761,1
"217","small_scale","sto","strategy_to_change","react",9239,1
"218","small_scale","sto","substitution_capacity","no",85019,1
"219","small_scale","sto","substitution_capacity","yes",14981,1
"220","small_scale","erf","economic_buffers","low",92267,1
"221","small_scale","erf","economic_buffers","medium",7733,1
"222","small_scale","erf","economic_risk","low",45226,1
"223","small_scale","erf","economic_risk","medium",32576,1
"224","small_scale","erf","economic_risk","high",22198,1
"225","small_scale","erf","go_fishing","no",41429,1
"226","small_scale","erf","go_fishing","yes",58571,1
"227","small_scale","erf","individual_importance","medium",4399,1
"228","small_scale","erf","individual_importance","high",95601,1
"229","small_scale","erf","individual_risk","low",48490,1
"230","small_scale","erf","individual_risk","medium",17467,1
"231","small_scale","erf","individual_risk","high",34043,1
"232","small_scale","erf","societal_importance","high",100000,1
"233","small_scale","erf","societal_risk","low",48490,1
"234","small_scale","erf","societal_risk","medium",15880,1
"235","small_scale","erf","societal_risk","high",35630,1
"236","small_scale","erf","strategy_to_change","cope",100000,1
"237","small_scale","erf","substitution_capacity","no",85055,1
"238","small_scale","erf","substitution_capacity","yes",14945,1
"239","small_scale","ici","economic_buffers","low",92339,1
"240","small_scale","ici","economic_buffers","medium",7661,1
"241","small_scale","ici","economic_risk","not_relevant",100000,1
"242","small_scale","ici","go_fishing","no",50085,1
"243","small_scale","ici","go_fishing","yes",49915,1
"244","small_scale","ici","individual_importance","medium",4397,1
"245","small_scale","ici","individual_importance","high",95603,1
"246","small_scale","ici","individual_risk","not_relevant",100000,1
"247","small_scale","ici","societal_importance","high",100000,1
"248","small_scale","ici","societal_risk","not_relevant",100000,1
"249","small_scale","ici","strategy_to_change","not_relevant",100000,1
"250","small_scale","ici","substitution_capacity","no",85163,1
"251","small_scale","ici","substitution_capacity","yes",14837,1
"252","household","abl","economic_buffers","low",100000,1
"253","household","abl","economic_risk","low",100000,1
"254","household","abl","go_fishing","no",100000,1
"255","household","abl","individual_importance","medium",52077,1
"256","household","abl","individual_importance","high",47923,1
"257","household","abl","individual_risk","medium",100000,1
"258","household","abl","societal_importance","medium",77201,1
"259","household","abl","societal_importance","high",22799,1
"260","household","abl","societal_risk","medium",100000,1
