"fishing_style","extreme_event","node","est","n","prob","f.style"
"recreational","abl","economic_risk","low",60446,0.60446,"rcf"
"recreational","abl","economic_risk","medium",25655,0.25655,"rcf"
"recreational","abl","economic_risk","high",13899,0.13899,"rcf"
"recreational","abl","individual_risk","low",72330,0.7233,"rcf"
"recreational","abl","individual_risk","medium",27014,0.27014,"rcf"
"recreational","abl","individual_risk","high",656,0.00656,"rcf"
"recreational","abl","societal_risk","low",72330,0.7233,"rcf"
"recreational","abl","societal_risk","medium",27214,0.27214,"rcf"
"recreational","abl","societal_risk","high",456,0.00456,"rcf"
"recreational","hws","economic_risk","low",100000,1,"rcf"
"recreational","hws","individual_risk","low",50909,0.50909,"rcf"
"recreational","hws","individual_risk","medium",47721,0.47721,"rcf"
"recreational","hws","individual_risk","high",1370,0.0137,"rcf"
"recreational","hws","societal_risk","low",50909,0.50909,"rcf"
"recreational","hws","societal_risk","medium",48132,0.48132,"rcf"
"recreational","hws","societal_risk","high",959,0.00959,"rcf"
"recreational","hww","economic_risk","low",100000,1,"rcf"
"recreational","hww","individual_risk","low",15579,0.15579,"rcf"
"recreational","hww","individual_risk","medium",64625,0.64625,"rcf"
"recreational","hww","individual_risk","high",19796,0.19796,"rcf"
"recreational","hww","societal_risk","low",15579,0.15579,"rcf"
"recreational","hww","societal_risk","medium",70570,0.7057,"rcf"
"recreational","hww","societal_risk","high",13851,0.13851,"rcf"
"recreational","gal","economic_risk","low",44641,0.44641,"rcf"
"recreational","gal","economic_risk","medium",31936,0.31936,"rcf"
"recreational","gal","economic_risk","high",23423,0.23423,"rcf"
"recreational","gal","individual_risk","low",41340,0.4134,"rcf"
"recreational","gal","individual_risk","medium",47674,0.47674,"rcf"
"recreational","gal","individual_risk","high",10986,0.10986,"rcf"
"recreational","gal","societal_risk","low",41340,0.4134,"rcf"
"recreational","gal","societal_risk","medium",50942,0.50942,"rcf"
"recreational","gal","societal_risk","high",7718,0.07718,"rcf"
"recreational","sto","economic_risk","low",100000,1,"rcf"
"recreational","sto","individual_risk","medium",73576,0.73576,"rcf"
"recreational","sto","individual_risk","high",26424,0.26424,"rcf"
"recreational","sto","societal_risk","medium",81441,0.81441,"rcf"
"recreational","sto","societal_risk","high",18559,0.18559,"rcf"
"recreational","erf","economic_risk","low",75180,0.7518,"rcf"
"recreational","erf","economic_risk","high",24820,0.2482,"rcf"
"recreational","erf","individual_risk","low",17981,0.17981,"rcf"
"recreational","erf","individual_risk","medium",61746,0.61746,"rcf"
"recreational","erf","individual_risk","high",20273,0.20273,"rcf"
"recreational","erf","societal_risk","low",17981,0.17981,"rcf"
"recreational","erf","societal_risk","medium",67943,0.67943,"rcf"
"recreational","erf","societal_risk","high",14076,0.14076,"rcf"
"recreational","ici","economic_risk","Not Relevant",100000,1,"rcf"
"recreational","ici","individual_risk","Not Relevant",100000,1,"rcf"
"recreational","ici","societal_risk","Not Relevant",100000,1,"rcf"
"small_scale","abl","economic_risk","low",47721,0.47721,"ssf"
"small_scale","abl","economic_risk","medium",31219,0.31219,"ssf"
"small_scale","abl","economic_risk","high",21060,0.2106,"ssf"
"small_scale","abl","individual_risk","low",51422,0.51422,"ssf"
"small_scale","abl","individual_risk","medium",39525,0.39525,"ssf"
"small_scale","abl","individual_risk","high",9053,0.09053,"ssf"
"small_scale","abl","societal_risk","low",51422,0.51422,"ssf"
"small_scale","abl","societal_risk","medium",38768,0.38768,"ssf"
"small_scale","abl","societal_risk","high",9810,0.0981,"ssf"
"small_scale","hws","economic_risk","low",71127,0.71127,"ssf"
"small_scale","hws","economic_risk","medium",17613,0.17613,"ssf"
"small_scale","hws","economic_risk","high",11260,0.1126,"ssf"
"small_scale","hws","individual_risk","low",51020,0.5102,"ssf"
"small_scale","hws","individual_risk","medium",37740,0.3774,"ssf"
"small_scale","hws","individual_risk","high",11240,0.1124,"ssf"
"small_scale","hws","societal_risk","low",51020,0.5102,"ssf"
"small_scale","hws","societal_risk","medium",36822,0.36822,"ssf"
"small_scale","hws","societal_risk","high",12158,0.12158,"ssf"
"small_scale","hww","economic_risk","low",78624,0.78624,"ssf"
"small_scale","hww","economic_risk","medium",11758,0.11758,"ssf"
"small_scale","hww","economic_risk","high",9618,0.09618,"ssf"
"small_scale","hww","individual_risk","low",36510,0.3651,"ssf"
"small_scale","hww","individual_risk","medium",42786,0.42786,"ssf"
"small_scale","hww","individual_risk","high",20704,0.20704,"ssf"
"small_scale","hww","societal_risk","low",36510,0.3651,"ssf"
"small_scale","hww","societal_risk","medium",41111,0.41111,"ssf"
"small_scale","hww","societal_risk","high",22379,0.22379,"ssf"
"small_scale","gal","economic_risk","low",42390,0.4239,"ssf"
"small_scale","gal","economic_risk","medium",33126,0.33126,"ssf"
"small_scale","gal","economic_risk","high",24484,0.24484,"ssf"
"small_scale","gal","individual_risk","low",43648,0.43648,"ssf"
"small_scale","gal","individual_risk","medium",34836,0.34836,"ssf"
"small_scale","gal","individual_risk","high",21516,0.21516,"ssf"
"small_scale","gal","societal_risk","low",43648,0.43648,"ssf"
"small_scale","gal","societal_risk","medium",33084,0.33084,"ssf"
"small_scale","gal","societal_risk","high",23268,0.23268,"ssf"
"small_scale","sto","economic_risk","low",53220,0.5322,"ssf"
"small_scale","sto","economic_risk","medium",26337,0.26337,"ssf"
"small_scale","sto","economic_risk","high",20443,0.20443,"ssf"
"small_scale","sto","individual_risk","low",19455,0.19455,"ssf"
"small_scale","sto","individual_risk","medium",45483,0.45483,"ssf"
"small_scale","sto","individual_risk","high",35062,0.35062,"ssf"
"small_scale","sto","societal_risk","low",19455,0.19455,"ssf"
"small_scale","sto","societal_risk","medium",42635,0.42635,"ssf"
