"extreme_event","node","est","n","prob","notrel"
"abl","economic_risk","low",66772,0.66772,0
"abl","economic_risk","medium",11881,0.11881,0
"abl","economic_risk","high",21347,0.21347,0
"abl","individual_risk","low",32173,0.32173,0
"abl","individual_risk","medium",49068,0.49068,0
"abl","individual_risk","high",18759,0.18759,0
"abl","societal_risk","low",32173,0.32173,0
"abl","societal_risk","medium",61034,0.61034,0
"abl","societal_risk","high",6793,0.06793,0
"hws","economic_risk","low",83027,0.83027,0
"hws","economic_risk","medium",8653,0.08653,0
"hws","economic_risk","high",8320,0.0832,0
"hws","individual_risk","low",36649,0.36649,0
"hws","individual_risk","medium",56371,0.56371,0
"hws","individual_risk","high",6980,0.0698,0
"hws","societal_risk","low",36649,0.36649,0
"hws","societal_risk","medium",59491,0.59491,0
"hws","societal_risk","high",3860,0.0386,0
"hww","economic_risk","low",78445,0.78445,0
"hww","economic_risk","medium",3096,0.03096,0
"hww","economic_risk","high",18459,0.18459,0
"hww","individual_risk","low",39459,0.39459,0
"hww","individual_risk","medium",34281,0.34281,0
"hww","individual_risk","high",26260,0.2626,0
"hww","societal_risk","low",39459,0.39459,0
"hww","societal_risk","medium",48923,0.48923,0
"hww","societal_risk","high",11618,0.11618,0
"gal","economic_risk","low",60582,0.60582,0
"gal","economic_risk","medium",19163,0.19163,0
"gal","economic_risk","high",20255,0.20255,0
"gal","individual_risk","low",41922,0.41922,0
"gal","individual_risk","medium",42495,0.42495,0
"gal","individual_risk","high",15583,0.15583,0
"gal","societal_risk","low",41922,0.41922,0
"gal","societal_risk","medium",45127,0.45127,0
"gal","societal_risk","high",12951,0.12951,0
"sto","economic_risk","low",71142,0.71142,0
"sto","economic_risk","medium",6212,0.06212,0
"sto","economic_risk","high",22646,0.22646,0
"sto","individual_risk","low",13533,0.13533,0
"sto","individual_risk","medium",54250,0.5425,0
"sto","individual_risk","high",32217,0.32217,0
"sto","societal_risk","low",13533,0.13533,0
"sto","societal_risk","medium",70426,0.70426,0
"sto","societal_risk","high",16041,0.16041,0
"erf","economic_risk","low",70072,0.70072,0
"erf","economic_risk","medium",5866,0.05866,0
"erf","economic_risk","high",24062,0.24062,0
"erf","individual_risk","low",23900,0.239,0
"erf","individual_risk","medium",46871,0.46871,0
"erf","individual_risk","high",29229,0.29229,0
"erf","societal_risk","low",23900,0.239,0
"erf","societal_risk","medium",63028,0.63028,0
"erf","societal_risk","high",13072,0.13072,0
"ici","economic_risk","low",4950,0.0495,0.60077
"ici","economic_risk","medium",8614,0.08614,0.60077
"ici","economic_risk","high",26359,0.26359,0.60077
"ici","economic_risk","Not Relevant",60077,0.60077,0.60077
"ici","individual_risk","low",109,0.00109,0.60077
"ici","individual_risk","medium",7023,0.07023,0.60077
"ici","individual_risk","high",32791,0.32791,0.60077
"ici","individual_risk","Not Relevant",60077,0.60077,0.60077
"ici","societal_risk","low",109,0.00109,0.60077
"ici","societal_risk","medium",22237,0.22237,0.60077
"ici","societal_risk","high",17577,0.17577,0.60077
"ici","societal_risk","Not Relevant",60077,0.60077,0.60077
