"fishing_style","extreme_event","node","est","n","prob","f.style"
"recreational","abl","economic_risk","low",60709,0.60709,"rcf"
"recreational","abl","economic_risk","medium",25402,0.25402,"rcf"
"recreational","abl","economic_risk","high",13889,0.13889,"rcf"
"recreational","abl","individual_risk","low",72274,0.72274,"rcf"
"recreational","abl","individual_risk","medium",27023,0.27023,"rcf"
"recreational","abl","individual_risk","high",703,0.00703,"rcf"
"recreational","abl","societal_risk","low",72274,0.72274,"rcf"
"recreational","abl","societal_risk","medium",27229,0.27229,"rcf"
"recreational","abl","societal_risk","high",497,0.00497,"rcf"
"recreational","hws","economic_risk","low",100000,1,"rcf"
"recreational","hws","individual_risk","low",50942,0.50942,"rcf"
"recreational","hws","individual_risk","medium",47697,0.47697,"rcf"
"recreational","hws","individual_risk","high",1361,0.01361,"rcf"
"recreational","hws","societal_risk","low",50942,0.50942,"rcf"
"recreational","hws","societal_risk","medium",48114,0.48114,"rcf"
"recreational","hws","societal_risk","high",944,0.00944,"rcf"
"recreational","hww","economic_risk","low",100000,1,"rcf"
"recreational","hww","individual_risk","low",15690,0.1569,"rcf"
"recreational","hww","individual_risk","medium",64143,0.64143,"rcf"
"recreational","hww","individual_risk","high",20167,0.20167,"rcf"
"recreational","hww","societal_risk","low",15690,0.1569,"rcf"
"recreational","hww","societal_risk","medium",70014,0.70014,"rcf"
"recreational","hww","societal_risk","high",14296,0.14296,"rcf"
"recreational","gal","economic_risk","low",44529,0.44529,"rcf"
"recreational","gal","economic_risk","medium",32243,0.32243,"rcf"
"recreational","gal","economic_risk","high",23228,0.23228,"rcf"
"recreational","gal","individual_risk","low",41195,0.41195,"rcf"
"recreational","gal","individual_risk","medium",47785,0.47785,"rcf"
"recreational","gal","individual_risk","high",11020,0.1102,"rcf"
"recreational","gal","societal_risk","low",41195,0.41195,"rcf"
"recreational","gal","societal_risk","medium",51033,0.51033,"rcf"
"recreational","gal","societal_risk","high",7772,0.07772,"rcf"
"recreational","sto","economic_risk","low",100000,1,"rcf"
"recreational","sto","individual_risk","medium",73694,0.73694,"rcf"
"recreational","sto","individual_risk","high",26306,0.26306,"rcf"
"recreational","sto","societal_risk","medium",81358,0.81358,"rcf"
"recreational","sto","societal_risk","high",18642,0.18642,"rcf"
"recreational","erf","economic_risk","low",74997,0.74997,"rcf"
"recreational","erf","economic_risk","high",25003,0.25003,"rcf"
"recreational","erf","individual_risk","low",18052,0.18052,"rcf"
"recreational","erf","individual_risk","medium",61631,0.61631,"rcf"
"recreational","erf","individual_risk","high",20317,0.20317,"rcf"
"recreational","erf","societal_risk","low",18052,0.18052,"rcf"
"recreational","erf","societal_risk","medium",67771,0.67771,"rcf"
"recreational","erf","societal_risk","high",14177,0.14177,"rcf"
"recreational","ici","economic_risk","Not Relevant",100000,1,"rcf"
"recreational","ici","individual_risk","Not Relevant",100000,1,"rcf"
"recreational","ici","societal_risk","Not Relevant",100000,1,"rcf"
"small_scale","abl","economic_risk","low",47495,0.47495,"ssf"
"small_scale","abl","economic_risk","medium",31077,0.31077,"ssf"
"small_scale","abl","economic_risk","high",21428,0.21428,"ssf"
"small_scale","abl","individual_risk","low",51670,0.5167,"ssf"
"small_scale","abl","individual_risk","medium",39231,0.39231,"ssf"
"small_scale","abl","individual_risk","high",9099,0.09099,"ssf"
"small_scale","abl","societal_risk","low",51670,0.5167,"ssf"
"small_scale","abl","societal_risk","medium",38465,0.38465,"ssf"
"small_scale","abl","societal_risk","high",9865,0.09865,"ssf"
"small_scale","hws","economic_risk","low",71263,0.71263,"ssf"
"small_scale","hws","economic_risk","medium",17466,0.17466,"ssf"
"small_scale","hws","economic_risk","high",11271,0.11271,"ssf"
"small_scale","hws","individual_risk","low",50965,0.50965,"ssf"
"small_scale","hws","individual_risk","medium",37829,0.37829,"ssf"
"small_scale","hws","individual_risk","high",11206,0.11206,"ssf"
"small_scale","hws","societal_risk","low",50965,0.50965,"ssf"
"small_scale","hws","societal_risk","medium",36911,0.36911,"ssf"
"small_scale","hws","societal_risk","high",12124,0.12124,"ssf"
"small_scale","hww","economic_risk","low",78282,0.78282,"ssf"
"small_scale","hww","economic_risk","medium",11962,0.11962,"ssf"
"small_scale","hww","economic_risk","high",9756,0.09756,"ssf"
"small_scale","hww","individual_risk","low",36529,0.36529,"ssf"
"small_scale","hww","individual_risk","medium",42471,0.42471,"ssf"
"small_scale","hww","individual_risk","high",21000,0.21,"ssf"
"small_scale","hww","societal_risk","low",36529,0.36529,"ssf"
"small_scale","hww","societal_risk","medium",40759,0.40759,"ssf"
"small_scale","hww","societal_risk","high",22712,0.22712,"ssf"
"small_scale","gal","economic_risk","low",42282,0.42282,"ssf"
"small_scale","gal","economic_risk","medium",33010,0.3301,"ssf"
"small_scale","gal","economic_risk","high",24708,0.24708,"ssf"
"small_scale","gal","individual_risk","low",43807,0.43807,"ssf"
"small_scale","gal","individual_risk","medium",34567,0.34567,"ssf"
"small_scale","gal","individual_risk","high",21626,0.21626,"ssf"
"small_scale","gal","societal_risk","low",43807,0.43807,"ssf"
"small_scale","gal","societal_risk","medium",32778,0.32778,"ssf"
"small_scale","gal","societal_risk","high",23415,0.23415,"ssf"
"small_scale","sto","economic_risk","low",52876,0.52876,"ssf"
"small_scale","sto","economic_risk","medium",26248,0.26248,"ssf"
"small_scale","sto","economic_risk","high",20876,0.20876,"ssf"
"small_scale","sto","individual_risk","low",19452,0.19452,"ssf"
"small_scale","sto","individual_risk","medium",45449,0.45449,"ssf"
"small_scale","sto","individual_risk","high",35099,0.35099,"ssf"
"small_scale","sto","societal_risk","low",19452,0.19452,"ssf"
"small_scale","sto","societal_risk","medium",42546,0.42546,"ssf"
"small_scale","sto","societal_risk","high",38002,0.38002,"ssf"
"small_scale","erf","economic_risk","low",61195,0.61195,"ssf"
"small_scale","erf","economic_risk","medium",24493,0.24493,"ssf"
"small_scale","erf","economic_risk","high",14312,0.14312,"ssf"
"small_scale","erf","individual_risk","low",49719,0.49719,"ssf"
"small_scale","erf","individual_risk","medium",30859,0.30859,"ssf"
"small_scale","erf","individual_risk","high",19422,0.19422,"ssf"
"small_scale","erf","societal_risk","low",49719,0.49719,"ssf"
"small_scale","erf","societal_risk","medium",29256,0.29256,"ssf"
"small_scale","erf","societal_risk","high",21025,0.21025,"ssf"
"small_scale","ici","economic_risk","Not Relevant",100000,1,"ssf"
"small_scale","ici","individual_risk","Not Relevant",100000,1,"ssf"
"small_scale","ici","societal_risk","Not Relevant",100000,1,"ssf"
"household","abl","economic_risk","low",100000,1,"hhf"
"household","abl","individual_risk","medium",100000,1,"hhf"
"household","abl","societal_risk","medium",100000,1,"hhf"
"household","hws","economic_risk","low",66421,0.66421,"hhf"
"household","hws","economic_risk","medium",7488,0.07488,"hhf"
"household","hws","economic_risk","high",26091,0.26091,"hhf"
"household","hws","individual_risk","low",42482,0.42482,"hhf"
"household","hws","individual_risk","medium",56608,0.56608,"hhf"
"household","hws","individual_risk","high",910,0.0091,"hhf"
"household","hws","societal_risk","low",42482,0.42482,"hhf"
"household","hws","societal_risk","medium",57183,0.57183,"hhf"
